target_dcn,atom=H,atom=He,atom=Li,atom=Be,atom=B,atom=C,atom=N,atom=O,atom=F,atom=Ne,atom=Na,atom=Mg,atom=Al,atom=Si,atom=P,atom=S,atom=Cl,atom=Ar,atom=Br,atom=I,atom=other,degree=0,degree=1,degree=2,degree=3,degree=4,degree=5,degree=other,formal_charge,total_H,hybrid=S,hybrid=SP,hybrid=SP2,hybrid=SP3,hybrid=SP3D,hybrid=SP3D2,hybrid=other,is_aromatic,atomic_mass,lone_pairs,HBD=0,HBD=1,HBD=2,HBD=3,HBD=other,HBA=0,HBA=1,HBA=2,HBA=3,HBA=other,ring_size,electronegativity,bond=NONE,bond=SINGLE,bond=DOUBLE,bond=TRIPLE,bond=AROMATIC,bond=other,is_conjugated,stereo=0,stereo=1,stereo=2,stereo=3,stereo=4,stereo=5,stereo=other,in_ring
16.3,0.0,0.0,0.0,0.0,0.0,1.4646920978136047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7962123490217738,0.0,0.0,0.0,-6.086901733273914,0.0,0.0,0.0,0.7857130438934021,0.0,0.0,0.0,0.0,0.10650281704781683,0.0,11.455654555654466,0.0,0.0,0.0,0.0,-1.1102454957970949,0.0,0.0,0.0,0.0,-6.212088959180729,-0.23419323975554995,0.0,-0.14481193530941106,0.0,0.0,0.0,0.0,0.0,-3.1653131963041314,0.0,0.0,0.0,0.0,0.0,0.0,-1.2492147936191813
16.4,0.0,0.0,0.0,0.0,0.0,1.8047073948503138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.698927624964428,0.0,0.0,0.0,-6.351770914293191,0.0,0.0,0.0,2.944050354280014,0.0,0.0,0.0,0.0,-0.17731792918410427,0.0,6.337943224455416,0.0,0.0,0.0,0.0,-1.5241752867471146,0.0,0.0,0.0,0.0,-4.724058284479273,0.01486143055472322,0.0,1.0523936471723303,0.0,0.0,0.0,0.0,0.0,-2.791744011651806,0.0,0.0,0.0,0.0,0.0,0.0,-3.277828377253951
16.5,0.0,0.0,0.0,0.0,0.0,-1.5685583184274137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14350026381154368,0.0,0.0,0.0,-10.289891464464421,0.0,0.0,0.0,8.706294078207044,0.0,0.0,0.0,0.0,0.09993938479636011,0.0,7.8938905873490794,0.0,0.0,0.0,0.0,-4.090870230610236,0.0,0.0,0.0,0.0,-3.2100334009477205,-0.13352917343544135,0.0,0.9473484611200353,0.0,0.0,0.0,0.0,0.0,-0.8122833171948738,0.0,0.0,0.0,0.0,0.0,0.0,-2.4876548440741937
16.6,0.0,0.0,0.0,0.0,0.0,-1.4533551307505146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.987828715236761,0.0,0.0,0.0,-6.532294005546104,0.0,0.0,0.0,2.3073845982084187,0.0,0.0,0.0,0.0,0.36587598262651433,0.0,18.475439521760293,0.0,0.0,0.0,0.0,0.17858588837040656,0.0,0.0,0.0,0.0,-24.360391268323436,-0.01839264093915638,0.0,2.5681746730785164,0.0,0.0,0.0,0.0,0.0,2.706846963409049,0.0,0.0,0.0,0.0,0.0,0.0,-5.803012151567778
16.9,0.0,0.0,0.0,0.0,0.0,0.1541154300852643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.100458841065239,0.0,0.0,0.0,-3.3961057136721617,0.0,0.0,0.0,17.299108839332973,0.0,0.0,0.0,0.0,-0.08898092013606274,0.0,6.243365425406573,0.0,0.0,0.0,0.0,-3.787245359130262,0.0,0.0,0.0,0.0,-10.312606676527107,0.04959289302786729,0.0,8.29191990565212,0.0,0.0,0.0,0.0,0.0,4.478001126448595,0.0,0.0,0.0,0.0,0.0,0.0,-31.377645892114625
17.3,0.0,0.0,0.0,0.0,0.0,-0.40212805052817124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.065731991773927,0.0,0.0,0.0,-2.2629821189959003,0.0,0.0,0.0,4.1392484666216784,0.0,0.0,0.0,0.0,-0.0589281102172432,0.0,22.993203438602183,0.0,0.0,0.0,0.0,5.769571021183472,0.0,0.0,0.0,0.0,-11.271054514511242,-1.0354184786240275,0.0,5.909509420025895,0.0,0.0,0.0,0.0,0.0,0.298565464125053,0.0,0.0,0.0,0.0,0.0,0.0,-40.2922035036024
17.7,0.0,0.0,0.0,0.0,0.0,3.432958182928738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9635295397570012,0.0,0.0,0.0,-4.430425599003575,0.0,0.0,0.0,3.438197507424965,0.0,0.0,0.0,0.0,0.25385358236601796,0.0,15.917384528641989,0.0,0.0,0.0,0.0,-0.35324442589337846,0.0,0.0,0.0,0.0,-11.944468937262773,-0.45963476039254836,0.0,2.7438037022027846,0.0,0.0,0.0,0.0,0.0,6.109602442092228,0.0,0.0,0.0,0.0,0.0,0.0,-20.625611642909018
18.0,0.0,0.0,0.0,0.0,0.0,11.763436474487966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5365888180402862,0.0,0.0,0.0,-7.335183944932204,0.0,0.0,0.0,3.105269847025169,0.0,0.0,0.0,0.0,0.2283152368759449,0.0,15.635053166720912,0.0,0.0,0.0,0.0,-3.3968722705672008,0.0,0.0,0.0,0.0,-22.9967328910176,0.49445735227117904,0.0,-1.0290729521255466,0.0,0.0,0.0,0.0,0.0,3.098101783305852,0.0,0.0,0.0,0.0,0.0,0.0,-5.871728660724964
37.7,0.0,0.0,0.0,0.0,0.0,1.5107771456506782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3252686563649654,-0.7293109154035999,0.0,0.0,0.0,-5.628836976552474,0.0,0.0,-0.8661623206568922,2.792343149466493,0.0,0.0,0.0,-0.8967257107013076,0.6126999962696225,0.0,10.668076636256073,0.0,0.0,0.0,0.0,-1.073706604263446,0.0,0.0,0.0,0.0,-0.8793546145690598,0.05879703165261496,0.0,6.214715474761174,0.0,0.0,1.3523807313963765,0.0,-0.26133813544443996,-0.10161236699613418,0.0,0.0,0.0,0.0,0.0,0.0,-1.4635753479972653
34.7,0.0,0.0,0.0,0.0,0.0,1.1310848450484503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3948064568571041,-1.1722258247788995,0.0,0.0,0.0,-4.447330229045184,0.0,0.0,-3.1222262547478987,5.226245371569844,0.0,0.0,0.0,-2.6675298765309368,0.3206777202840918,0.0,13.347224325700738,0.0,0.0,0.0,0.0,-0.7033497783655864,0.0,0.0,0.0,0.0,-0.5196345450018693,-0.6047439778761721,0.0,4.387564995957936,0.0,0.0,0.616336684794911,0.0,-0.15533040642027895,-0.3042175267839209,0.0,0.0,0.0,0.0,0.0,0.0,-0.8869410749137838
