SMILES,EX_Boiling Point,bp_predicted
CCCCC(=C)C,92.0,83.17000000000002
CCCC(C)CO,157.0,155.47000000000003
CCCC(=C)C,62.1,60.29000000000002
CC(C)CO,107.84,109.71000000000004
CCC(C)(C)O,102.4,129.8
CC=C(C)C,38.5,44.889999999999986
CCCCC=C(C)C,122.0,113.52999999999997
CCCCC(C)(C)O,142.0,175.56
CCCC(C)(C)O,121.0,152.68
CCC=C(C)C,67.3,67.76999999999998
CC(C)(C=C)O,99.3,126.48000000000002
CCCC(=O)C(C)C,134.0,140.04000000000002
CCC(=O)C(C)C,118.0,117.16000000000003
CC1=CC=CC=C1C2=CC=CC=C2,258.0,282.23
CCC(C)C,27.83,40.410000000000025
CC1=CC=CO1,63.9,91.04999999999995
CCCCCC(C)C,117.6,109.05000000000001
CCCCC(C)C=O,141.0,134.83000000000004
CCCCC(C)C,90.0,86.17000000000002
CC1=CC2=CC=CC=C2C=C1,241.1,228.76999999999998
CCCCCCCC(C)C,167.0,154.81000000000006
CCCCCCC(C)C,143.0,131.93
CCCC(C)C=O,118.0,111.95000000000005
CCCC(C)C,60.21,63.29000000000002
CC(=C)C(=O)O,160.0,160.03999999999996
CC(C)C(=O)OC(=O)C(C)C,183.0,225.05
CCCCCCCC(C)O,193.5,224.11
CCCCCC=CC,125.6,113.65000000000003
CCCCCC#CC,138.0,118.49000000000001
CCCC(C)O,119.1,132.59000000000003
CCCC(=O)C,102.2,94.72000000000003
CCC=CC,36.9,45.01000000000005
CCC#CC,56.0,49.85000000000002
CC(C)O,82.21,86.82999999999998
CC(=O)C,56.08,48.960000000000036
CCC(C)C(C)(C)CC,139.0,128.7
CCC(C)CC(C)(C)CC,157.0,151.57999999999998
CC1CC(=O)CC(C1)(C)C,189.0,215.30999999999995
CCCCC(C)(C)CC,137.0,129.14
CCC(CC)(CC)CC,146.2,129.14
CCC(C)(C)C=C,77.0,80.06
CC(C)(C)C=C,41.24,57.18000000000001
CC(=O)C(C)(C)C,106.1,114.37
CCCC(C)(C)CC,111.9,106.25999999999999
CCC(C)(C)CC,86.0,83.38
CC(C)C(C)C=C,82.0,82.41000000000003
C1CC=COC1,85.5,91.17999999999995
CCC(C)C(C)CC,117.7,108.61000000000001
CC(C)CCCC(C)CCO,224.0,246.55000000000007
CCOCCC=O,135.2,111.93
CCC(CC)C=C,84.0,82.85000000000002
CCC(C(C)C)C(C)C,123.0,131.04999999999995
CCC(CC)C(=C)C,109.2,105.61000000000001
CCC(=CC)CC,95.0,90.64999999999998
CCC(C)C(CC)CC,140.0,131.49
CCCCC(CC)CC,143.1,131.93
CCCC(CC)CC,118.5,109.05000000000001
CCCCCC(CC)CC,165.0,154.81000000000006
CCCC=CCC,96.0,90.77000000000004
CCCC#CCC,109.2,95.61000000000001
CCC=CCC,66.4,67.89000000000004
CC(C)C=C,20.1,37.089999999999975
CCCC(=CC)C,97.0,90.64999999999998
CC(=C)C(=O)C,97.0,91.27999999999997
CCC(C)(CC)CC,118.2,106.25999999999999
CCC=C(C)CC,95.3,90.64999999999998
CC(C)CCOC(=O)C,141.6,144.39
CC1CCC=C1,65.0,78.17000000000002
CC1=COC=C1,66.0,91.04999999999995
CCCCCCC(C)CC,168.0,154.81000000000006
CCCCCC(C)CC,144.0,131.93
CCCCCCCCC(C)CC,212.0,200.57000000000005
C1CC(CC=C1)C=O,164.0,153.97999999999996
CCCCCCCC(=O)CC,212.0,209.12
CCC(CC)(CC)O,142.0,175.56
CCC(CC)CC,93.4,86.17000000000002
CCCCC(CC)O,163.0,178.35000000000002
CCCCC(=O)CC,146.0,140.48000000000002
CCCC(=O)CC,123.5,117.60000000000002
CC(C)CCO,130.8,132.59000000000003
CCCC(C)C=C,84.0,82.85000000000002
CC(C)C(C)O,113.7,132.15000000000003
CC(C)C(=O)C,94.2,94.28000000000003
CCC(C)C(C)O,142.0,155.03000000000003
CCC(=CC)C,70.4,67.76999999999998
CC1=CC(=CC=C1)C2=CC=CC=C2,274.0,282.23
CC(C)C#C,28.0,30.529999999999973
CC(C)CC=O,92.5,89.07000000000005
CCCCC(C)CC,118.9,109.05000000000001
CCCC(C)CC=O,145.0,134.83000000000004
CCCC(C)CC,92.0,86.17000000000002
CCC(C)CC,63.3,63.29000000000002
CCCCCCC(=O)CC,187.0,186.24
CCCCCC(CC)O,184.0,201.23000000000002
CCCCCC(=O)CC,166.0,163.36
CCCCC#CCC,135.6,118.49000000000001
CCC(CC)O,123.0,132.59000000000003
CCC(=O)CC,101.9,94.72000000000003
CC(C)(C)CC=C,72.5,80.06
CC=CC(C)(C)C,76.7,87.54000000000002
CC(=O)CC(C)(C)C,124.0,137.25
CCCCCCC(=O)CCC,206.5,209.12
CCC(CC)CC(C)C,134.0,131.49
CCCCC(CC)CCC,163.0,154.81000000000006
COC1=CC=C(C=C1)C=O,255.0,139.99
CC(=CC=C)C,76.0,64.44999999999999
CCC(C)C=CC,86.0,90.33000000000004
CC(C)CC(=O)C,115.7,117.16000000000003
CC=CC(C)C,56.4,67.45000000000005
CC1=CC=C(C=C1)C=O,202.0,117.57
CC1CC=CC1,68.0,78.17000000000002
CCCCCC(C)CCC,166.0,154.81000000000006
CCCCC(C)CCC,142.0,131.93
CC(=CC(=O)C)C,129.7,121.63999999999999
CCCCC(=O)CCC,166.0,163.36
CCC1=CC(=C(C=C1)O)OC,236.5,267.07000000000005
CCCC(CCC)O,161.0,178.35000000000002
CCCC(=O)CCC,144.0,140.48000000000002
CC(=O)CC(C)(C)O,167.9,206.55
CC1=CC=C(C=C1)OC,175.0,163.57
CC1=CC(=C(C=C1)O)OC,217.0,244.18999999999994
CC1CCC=CC1,71.8,105.32
CCC(C)CC=C,87.0,82.85000000000002
CC(C)CCCO,151.0,155.47000000000003
CC(C)CC=C,54.0,59.97000000000003
CC(C)CC(C)O,132.0,155.03000000000003
CC1=CC=C(C=C1)C2=CC=CC=C2,273.0,282.23
CCCC(C)CCC,117.7,109.05000000000001
CCCCCC(CCC)O,192.5,224.11
CCCCCC(=O)CCC,188.0,186.24
CCCCC(CCC)O,176.3,201.23000000000002
CCCC#CCCC,133.5,118.49000000000001
CCCC1=CC=C(C=C1)O,232.0,239.66999999999996
CCCC1=CC=C(C=C1)OC,211.5,209.33000000000004
CCCC1=CC(=C(C=C1)O)OC,121.0,289.95000000000005
C=CC1CCC=CC1,130.0,124.87999999999994
CC(=O)CCC=C,129.1,114.27999999999997
CC(C)CCCCO,170.0,178.35000000000002
CC(C)CCC=C,85.0,82.85000000000002
CC(C)CCC(=O)C,139.0,140.04000000000002
CC=CCC(C)C,89.0,90.33000000000004
CCCCC(C)CCCC,164.0,154.81000000000006
CC(C)CCC(C)O,151.0,177.91000000000003
CCC(C)CC(=O)CC,159.0,162.92000000000002
CCCCC(=O)CCCC,188.4,186.24
CC(C)CCCC=C,113.0,105.73000000000002
CCCCCC(=O)CCCCC,227.4,232.0
CC(C)CCCCC=C,139.0,128.61
CC=O,20.8,20.870000000000005
CC(=O)O,117.9,117.72000000000003
C#C,-84.7,-56.54999999999998
C(CCC(=O)O)CC(=O)O,337.5,354.75
CC(=O)OCC=C,104.0,95.75
C(CCCC(=O)O)CCCC(=O)O,357.1,423.39
C1=CC=C(C=C1)C=O,178.7,89.71000000000004
C1=CC=C(C=C1)CC=O,202.0,184.83000000000004
C1=CC=C(C=C1)CC(=O)O,268.0,281.68000000000006
C1=CC=C(C=C1)CCO,220.0,228.35000000000002
C1=CC=C(C=C1)CO,205.3,205.47000000000003
CC(=O)C=C,81.0,68.51999999999998
CCCCOC(=O)C=C,146.6,141.51
CCCCOC(=O)C,126.0,121.95000000000005
CCCCOC(=O)C1=CC=CC=C1,249.0,263.03
CCCCOCC,89.0,86.15000000000003
CCCCOC1=CC=CC=C1,210.0,204.34999999999997
C1CCC1,12.5,33.64999999999998
C1CCCC(=O)CC1,180.4,182.91999999999996
C1CCC(=O)CC1,155.4,155.76999999999998
C1CCC=CC1,82.9,87.10999999999996
C1CCC(C1)O,140.4,148.30999999999995
C1CCC(=O)C1,130.5,128.62
C1CC1,-31.0,6.5
CCCCCCCCCC(=O)O,270.0,300.76
CCCCCCCCCCOC(=O)C,249.0,259.23
C=CCOCC=C,94.0,79.51000000000005
C1=CC=C(C=C1)COCC2=CC=CC=C2,298.0,322.54999999999995
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,338.0,440.63
CCCCOC(=O)C=CC(=O)OCCCC,281.0,321.61
CCCCOCCOCCOCCCC,255.0,268.27
CCOCCOCCO,202.0,200.75
CCOCCOCCOC(=O)C,218.0,212.55000000000007
CCCCCCOCCCCCC,220.0,223.43
CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC,210.0,532.15
COC(=O)C1=CC=CC=C1C(=O)OC,282.7,303.35
C=COC=C,28.0,33.75000000000006
CCCCCCCCCCCC=O,185.0,249.66999999999996
CCCCCCCCCCCCOC(=O)C,265.0,304.99
CC,-88.6,-27.789999999999992
C=C,-103.8,-38.589999999999975
CCOC(=O)C1=CC=CC=C1,212.5,217.26999999999998
CCOC(=O)C,77.1,76.19000000000005
CCC=CCC=CCC=CCCCCCCCC(=O)OCC,357.0,454.75
CCOC,6.0,17.510000000000048
CCC(=O)OCC,98.9,99.07000000000005
CCOC=C,36.0,37.06999999999999
CCOCCC(=O)OCC,168.0,167.25
CCC1CCC1,70.0,74.74000000000001
CCC1CC1,36.0,47.59000000000003
C(=O)O,101.0,94.13999999999999
C1=COC(=C1)C=O,161.5,67.47000000000003
CCCCCCCCCCC(=O)O,280.0,323.64
CCCCCCCCCCCCCCCCCC1=CC=CC=C1,402.0,479.3699999999999
CCCCC(CC)C=O,161.0,157.71000000000004
CCCCCC(=O)O,204.9,209.24
CCCCCCC1CCCC1,206.0,193.40999999999997
C1CC2=CC=CC=C2C1,177.8,175.44
CCCC(=O)OCC(C)C,157.0,167.26999999999998
CC(C)COC=C,83.0,82.39000000000004
CC(C)COC(=O)C=C,137.0,141.07000000000005
CC(=C)OC(=O)C,97.4,95.63
CC(C)OC(=O)C1=CC=CC=C1,218.0,239.71000000000004
CC(C)OC(=O)C,88.6,98.63
CC(C)OC(=O)C=C,51.0,118.18999999999994
CC(C)C1CCCC1,126.4,124.32999999999993
CC(C)CC(=O)O,176.5,185.92000000000007
CCCCCC=CCC=CCCCCCCCC(=O)O,229.0,492.12
CCC=CCC=CCC=CCCCCCCCC(=O)O,231.0,496.28
CC(=O)COC,110.0,94.26000000000005
COC=O,31.6,-51.370000000000005
COC(=O)C1=CC=CC=C1,199.0,194.39
CCCCCCCCC=CCCCCCCCCCCCC(=O)OC,400.0,515.0699999999999
CC(C)(C)C(=O)OC,102.0,118.72000000000003
COC=C,6.0,14.189999999999998
CC1CCC1,37.0,51.860000000000014
CC1CC1,1.0,24.710000000000036
CCCCOC=C,94.0,82.82999999999998
CCCCCCCCCCCCC1=CC=CC=C1,329.0,364.9699999999999
CCCCCCCCCOC(=O)C,225.0,236.35000000000002
CCCCCCCCCOC=O,216.0,131.66999999999996
CCCCCCCCOC(=O)C,210.0,213.47000000000003
CCCCCCCCOC=O,198.8,108.78999999999996
CCCCC1CCCC1,156.0,147.64999999999998
CCCCCCCCCCCCCCCCCCCCCC,369.0,429.80999999999995
CCCCCCCCCCCCCCCCCCCCC,359.0,406.92999999999995
CCCCCCCCCCCCCCCCC1=CC=CC=C1,385.0,456.49
CCCC1CCCC1,130.9,124.76999999999998
CC(C)(C)C(=O)O,164.2,183.13
CCCCCCCCCCCCCCCCCC(=O)O,371.0,483.79999999999995
CCCCCCCCCCCCCCCCCCOC(=O)C,208.0,442.27
CCCCCCCCC=CCCCCCCCC(=O)O,360.0,487.9599999999999
C(CC(=O)O)CC(=O)O,273.0,331.87
CCCCC(=O)O,186.1,186.36
CCCCCOC(=O)CCC,180.0,190.59000000000003
CCCCCOC(=O)CC,166.0,167.71000000000004
CCCCCC1CCCC1,180.0,170.52999999999997
CC=C,-47.6,-8.230000000000018
CCC(=O)O,141.5,140.60000000000002
CCCC(=O)OCCC,144.0,144.83000000000004
CCCOC(=O)C,101.0,99.07000000000005
CC#C,-23.2,-14.79000000000002
CCC(C)C1CCCCC1,179.3,174.36
CCCCCCCCCCCCCC(=O)O,250.0,392.28
CCCCCCCCCCCCCCOC(=O)C,173.0,350.75
CCCC=CCCC,122.6,113.65000000000003
CCCCCCCCCCC=O,117.0,226.78999999999996
CCCC(=O)OC=C,116.7,118.63
C=CC1CCCCC1,127.0,125.72000000000003
CCC(=O)OC=C,94.8,95.75
C1=CC=C2C=C3C=CC=CC3=CC2=C1,341.3,316.39
C1=CC=CC=C1,80.08,85.43
C1=CC=C(C=C1)C(=O)O,250.2,258.80000000000007
C1=CC=C(C=C1)CCC2=CC=CC=C2,280.0,300.13
C1CCC(CC1)C2CCCCC2,239.0,240.11
C1=CC=C(C=C1)C2=CC=CC=C2,255.2,254.37
CCCC=O,74.8,66.63
CCCCOC(=O)CCC,164.95,167.71000000000004
CCCCOC=O,106.1,17.269999999999982
CCCCCC(=O)OCCCC,204.0,213.47000000000003
CCCCCCCCCCCC(=O)OCCCC,180.0,350.75
CCCCOC(=O)CCC(=O)C,237.5,244.46000000000004
CCCCCCCC(=O)OCCCC,240.0,259.23
CCCCOC(=O)CC,145.1,144.83000000000004
CCCCCCCCCCCCCCCCCC(=O)OCCCC,343.0,488.03
CCCCC(=O)OCCCC,186.0,190.59000000000003
CCCCC1CCCCC1,180.9,174.79999999999995
CCCC(=O)O,163.7,163.48000000000002
C1CCC2CCCCC2C1,195.8,185.81
CC1CCCCC1O,165.0,193.67000000000002
CCCC=CC,68.9,67.89000000000004
