SMILES,EX_Boiling Point,bp_predicted_gcn,bp_predicted_mpnn
CC1CC(=O)CC(C1)(C)C,189.0,176.40200000000004,202.961
CCCCC(C)(C)CC,137.0,131.83500000000004,126.21300000000002
CCC(CC)(CC)CC,146.2,131.77700000000004,142.622
CCC(C)(C)C=C,77.0,84.49000000000001,69.31900000000002
CC(C)(C)C=C,41.24,53.382000000000005,33.57800000000003
CC(=O)C(C)(C)C,106.1,105.50600000000003,92.632
CCCC(C)(C)CC,111.9,114.055,106.74100000000004
CCC(C)(C)CC,86.0,93.31600000000003,81.63
CC(C)C(C)C=C,82.0,86.17900000000003,77.46700000000004
C1CC=COC1,85.5,90.02600000000001,92.28400000000005
CCC(C)C(C)CC,117.7,114.71700000000004,104.73000000000002
CC(C)CCCC(C)CCO,224.0,215.63600000000002,228.209
CCOCCC=O,135.2,116.22900000000004,110.16200000000003
CCC(CC)C=C,84.0,88.34700000000004,73.89600000000002
CCC(C(C)C)C(C)C,123.0,130.25100000000003,130.45500000000004
CCC(CC)C(=C)C,109.2,106.94100000000003,100.87600000000003
CCC(=CC)CC,95.0,94.76400000000001,89.423
CCC(C)C(CC)CC,140.0,129.65900000000005,119.72900000000004
CCCCC(CC)CC,143.1,131.28300000000002,122.68900000000002
CCCC(CC)CC,118.5,114.09700000000004,101.596
CCCCCC(CC)CC,165.0,147.96900000000005,146.35500000000002
CCCC=CCC,96.0,87.49400000000003,90.67600000000004
CCCC#CCC,109.2,105.58300000000003,106.43
CCC=CCC,66.4,69.60000000000002,67.40900000000005
CC(C)C=C,20.1,25.974000000000046,21.015000000000043
CCCC(=CC)C,97.0,96.827,86.387
CC(=C)C(=O)C,97.0,89.39800000000002,78.875
CCC(C)(CC)CC,118.2,114.673,100.87100000000004
CCC=C(C)CC,95.3,96.92700000000002,91.875
CC(C)CCOC(=O)C,141.6,138.14800000000002,142.231
CC1CCC=C1,65.0,78.90000000000003,63.198000000000036
CC1=COC=C1,66.0,104.62,85.98900000000003
CCCCCCC(C)CC,168.0,148.20700000000005,151.279
CCCCCC(C)CC,144.0,131.98400000000004,132.40700000000004
CCCCCCCCC(C)CC,212.0,180.389,189.024
C1CC(CC=C1)C=O,164.0,149.85900000000004,153.548
CCCCCCCC(=O)CC,212.0,186.365,189.76800000000003
CCC(CC)(CC)O,142.0,145.997,143.084
CCC(CC)CC,93.4,93.906,78.20400000000001
CCCCC(CC)O,163.0,156.966,153.98600000000005
CCCCC(=O)CC,146.0,139.298,129.94800000000004
CCCC(=O)CC,123.5,120.98500000000001,112.892
CC(C)CCO,130.8,130.83300000000003,124.81400000000002
CCCC(C)C=C,84.0,85.60200000000003,79.38500000000005
CC(C)C(C)O,113.7,116.63,107.38
CC(C)C(=O)C,94.2,91.83000000000004,84.07300000000004
CCC(C)C(C)O,142.0,134.97200000000004,125.98000000000002
CCC(=CC)C,70.4,72.08600000000001,57.499000000000024
CC1=CC(=CC=C1)C2=CC=CC=C2,274.0,265.448,263.33000000000004
CC(C)C#C,28.0,42.735000000000014,23.527000000000044
CC(C)CC=O,92.5,91.733,78.459
CCCCC(C)CC,118.9,114.73200000000003,108.74100000000004
CCCC(C)CC=O,145.0,130.214,129.755
CCCC(C)CC,92.0,93.89000000000004,88.99200000000002
CCC(C)CC,63.3,70.99100000000004,59.97300000000001
CCCCCCC(=O)CC,187.0,170.30200000000002,170.89500000000004
CCCCCC(CC)O,184.0,173.37,177.65300000000002
CCCCCC(=O)CC,166.0,154.28500000000003,152.02300000000002
CCCCC#CCC,135.6,128.47700000000003,115.58600000000001
CCC(CC)O,123.0,119.69900000000001,121.44
CCC(=O)CC,101.9,100.96200000000005,92.51400000000001
CC(C)(C)CC=C,72.5,85.59900000000005,64.339
CC=CC(C)(C)C,76.7,83.58300000000003,68.84900000000005
CC(=O)CC(C)(C)C,124.0,125.04600000000005,119.976
CCCCCCC(=O)CCC,206.5,188.38800000000003,184.603
CCC(CC)CC(C)C,134.0,125.43300000000005,116.22400000000005
CCCCC(CC)CCC,163.0,147.77500000000003,140.976
COC1=CC=C(C=C1)C=O,255.0,208.53300000000002,224.31900000000002
CC(=CC=C)C,76.0,75.62900000000002,74.55800000000005
CCC(C)C=CC,86.0,90.30700000000002,82.368
CC(C)CC(=O)C,115.7,112.28300000000002,103.39300000000003
CC=CC(C)C,56.4,69.92200000000003,50.63300000000004
CC1=CC=C(C=C1)C=O,202.0,184.71000000000004,189.87100000000004
CC1CC=CC1,68.0,75.83800000000002,55.045000000000016
CCCCCC(C)CCC,166.0,150.01600000000002,154.14100000000002
CCCCC(C)CCC,142.0,133.389,130.47500000000002
CC(=CC(=O)C)C,129.7,114.67200000000003,131.288
CCCCC(=O)CCC,166.0,157.38100000000003,143.656
CCC1=CC(=C(C=C1)O)OC,236.5,235.88800000000003,238.026
CCCC(CCC)O,161.0,158.55100000000004,143.937
CCCC(=O)CCC,144.0,139.098,126.59900000000005
CC(=O)CC(C)(C)O,167.9,161.55,157.99100000000004
CC1=CC=C(C=C1)OC,175.0,171.339,175.86
CC1=CC(=C(C=C1)O)OC,217.0,222.341,225.964
CC1CCC=CC1,71.8,95.86600000000004,95.24400000000003
CCC(C)CC=C,87.0,87.09000000000003,79.983
CC(C)CCCO,151.0,154.43800000000005,146.13500000000005
CC(C)CC=C,54.0,63.539000000000044,45.00800000000004
CC(C)CC(C)O,132.0,136.377,128.41900000000004
CC1=CC=C(C=C1)C2=CC=CC=C2,273.0,264.55000000000007,263.8960000000001
CCCC(C)CCC,117.7,115.22400000000005,110.726
CCCCCC(CCC)O,192.5,192.83800000000002,186.27100000000002
CCCCCC(=O)CCC,188.0,172.372,165.73000000000002
CCCCC(CCC)O,176.3,176.43400000000003,162.60500000000002
CCCC#CCCC,133.5,129.764,129.63600000000002
CCCC1=CC=C(C=C1)O,232.0,221.78900000000004,232.33100000000002
CCCC1=CC=C(C=C1)OC,211.5,205.00600000000003,212.14600000000002
CCCC1=CC(=C(C=C1)O)OC,121.0,255.94900000000007,257.304
C=CC1CCC=CC1,130.0,116.055,122.048
CC(=O)CCC=C,129.1,120.661,114.20100000000002
CC(C)CCCCO,170.0,171.60000000000002,168.517
CC(C)CCC=C,85.0,85.14000000000004,83.90200000000004
CC(C)CCC(=O)C,139.0,134.95600000000002,136.03700000000003
CC=CCC(C)C,89.0,85.82800000000003,86.84100000000001
CCCCC(C)CCCC,164.0,150.86400000000003,150.22400000000005
CC(C)CCC(C)O,151.0,156.661,152.48200000000003
CCC(C)CC(=O)CC,159.0,142.892,143.94800000000004
CCCCC(=O)CCCC,188.4,175.66400000000004,160.71200000000005
CC(C)CCCC=C,113.0,103.156,108.72300000000001
CCCCCC(=O)CCCCC,227.4,205.64600000000002,204.86100000000005
CC(C)CCCCC=C,139.0,120.05900000000003,128.23600000000005
CC=O,20.8,7.701999999999998,2.920000000000016
CC(=O)O,117.9,107.01800000000003,127.06900000000002
C#C,-84.7,-8.198999999999955,-38.819999999999965
C(CCC(=O)O)CC(=O)O,337.5,307.64300000000003,293.79100000000005
CC(=O)OCC=C,104.0,105.57300000000004,100.471
C(CCCC(=O)O)CCCC(=O)O,357.1,355.438,340.751
C1=CC=C(C=C1)C=O,178.7,164.245,170.697
C1=CC=C(C=C1)CC=O,202.0,187.038,178.20600000000002
C1=CC=C(C=C1)CC(=O)O,268.0,254.788,243.106
C1=CC=C(C=C1)CCO,220.0,227.99200000000002,213.76800000000003
C1=CC=C(C=C1)CO,205.3,192.17100000000005,192.262
CC(=O)C=C,81.0,56.766999999999996,63.226
CCCCOC(=O)C=C,146.6,130.84400000000005,126.88900000000001
CCCCOC(=O)C,126.0,124.83000000000004,122.87700000000001
CCCCOC(=O)C1=CC=CC=C1,249.0,229.49400000000003,227.139
CCCCOCC,89.0,94.46900000000005,88.20500000000004
CCCCOC1=CC=CC=C1,210.0,191.68,208.03400000000005
C1CCC1,12.5,11.397000000000048,-12.289999999999964
C1CCCC(=O)CC1,180.4,152.46700000000004,200.30800000000005
C1CCC(=O)CC1,155.4,135.654,164.38500000000005
C1CCC=CC1,82.9,78.20600000000002,65.07500000000005
C1CCC(C1)O,140.4,129.40900000000005,123.269
C1CCC(=O)C1,130.5,118.84000000000003,128.461
C1CC1,-31.0,-20.541999999999973,-48.21399999999997
CCCCCCCCCC(=O)O,270.0,260.07000000000005,264.414
CCCCCCCCCCOC(=O)C,249.0,220.298,236.211
C=CCOCC=C,94.0,72.738,88.68800000000005
C1=CC=C(C=C1)COCC2=CC=CC=C2,298.0,284.14300000000003,307.615
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,338.0,340.35400000000004,312.145
CCCCOC(=O)C=CC(=O)OCCCC,281.0,264.73199999999997,249.29899999999998
CCCCOCCOCCOCCCC,255.0,239.55500000000006,231.24400000000003
CCOCCOCCO,202.0,190.77500000000003,181.05900000000003
CCOCCOCCOC(=O)C,218.0,192.562,192.122
CCCCCCOCCCCCC,220.0,199.483,198.538
CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC,210.0,402.932,376.03600000000006
COC(=O)C1=CC=CC=C1C(=O)OC,282.7,271.923,260.85
C=COC=C,28.0,33.58200000000005,16.742999999999995
CCCCCCCCCCCC=O,185.0,214.449,231.685
CCCCCCCCCCCCOC(=O)C,265.0,252.41100000000006,273.956
CC,-88.6,-82.13599999999997,-80.51199999999997
C=C,-103.8,-86.45699999999997,-95.60499999999999
CCOC(=O)C1=CC=CC=C1,212.5,201.372,196.94800000000004
CCOC(=O)C,77.1,92.25100000000003,77.281
CCC=CCC=CCC=CCCCCCCCC(=O)OCC,357.0,336.432,373.51
CCOC,6.0,17.684000000000026,-0.2279999999999518
CCC(=O)OCC,98.9,108.64700000000005,99.363
CCOC=C,36.0,36.49400000000003,29.35300000000001
CCOCCC(=O)OCC,168.0,158.65000000000003,148.36600000000004
CCC1CCC1,70.0,73.52500000000003,51.96100000000001
CCC1CC1,36.0,45.771000000000015,9.973000000000013
C(=O)O,101.0,99.68800000000005,127.418
C1=COC(=C1)C=O,161.5,141.31300000000005,150.738
CCCCCCCCCCC(=O)O,280.0,276.12700000000007,282.779
CCCCCCCCCCCCCCCCCC1=CC=CC=C1,402.0,386.92100000000005,414.98
CCCCC(CC)C=O,161.0,147.67100000000005,138.73900000000003
CCCCCC(=O)O,204.9,195.906,188.92400000000004
CCCCCCC1CCCC1,206.0,175.781,183.28700000000003
