SMILES,EX_Liquid Density,m,sigma,epsilon_k,epsilonAB,KAB,molar_mass_rdkit,density_25C_1atm
CCCCCCC(C)C,713.5,6.258748737658381,3.993635411500706,241.43497451819002,88.38143983234005,0.00040000000000000387,128.259,
CCCC(C)C,657.02,2.98003429471252,3.9455243139296083,251.8694633337043,9.094947017729282e-13,4.336808689942018e-18,86.178,
CCCCCC=CC,725.0,3.081623769898007,3.73956776315124,242.4163010246398,9.094947017729282e-13,4.336808689942018e-18,112.21599999999998,
CCCC(C)O,805.24,3.55567498761327,3.6556582239108724,245.12796643963054,2250.1650737735204,0.010000000000000002,88.14999999999999,
CCC=CC,650.6,2.6722614795889386,3.742358744969801,247.6367077205386,9.094947017729282e-13,4.336808689942018e-18,70.135,
CC(C)O,780.98,3.1361329415742363,3.3853945971079837,229.29559243915403,2240.623665529778,0.0099,60.096000000000004,
CCC(C)C(C)(C)CC,722.0,3.0805424437436417,4.071085550152277,263.4868017978772,9.094947017729282e-13,4.336808689942018e-18,128.259,
CCCCC(C)(C)CC,727.0,3.2748729326752244,3.9754817601773764,258.59468742357416,9.094947017729282e-13,4.336808689942018e-18,128.259,
CCC(CC)(CC)CC,748.68,3.1980199842888966,4.042929684891285,267.046819879453,9.094947017729282e-13,4.336808689942018e-18,128.259,
CCC(C)(C)C=C,696.1,2.903582753763935,3.9307122568598953,249.81487159274425,9.094947017729282e-13,4.336808689942018e-18,98.18899999999998,
CCC(C)(C)CCO,832.0,3.160167613558775,3.6483823154594788,261.07802177224977,2245.57106660435,0.010000000000000002,116.20399999999998,
CC(C)(C)CCO,809.7,3.5067949643063545,3.4848918103578015,271.0200026603607,2341.782852336172,0.010000000000000002,102.17699999999999,
CC(C)(C)C=C,647.86,2.6595795696661844,3.8821602139197227,237.4255883988038,9.094947017729282e-13,4.336808689942018e-18,84.16199999999999,
CC(=O)C(C)(C)C,722.9,3.1755467574180765,3.4387753645559793,305.4150325532547,59.855309288668366,0.0003000000000000038,100.16099999999999,
CC1(CCCC(=O)C1)C,906.0,3.37310772008066,3.762996442773282,304.75873936069354,9.094947017729282e-13,4.336808689942018e-18,126.199,
CCCC(C)(C)CC,705.96,3.1550471051455764,3.9792442000135484,265.0867975600506,18.934521020660156,0.00010000000000000373,114.23199999999999,
CCC(C)(C)CC,689.09,2.8764804125828656,3.906144176925547,274.46005146461994,455.03867337541135,0.004300000000000002,100.20499999999998,
CC=C(C)C(C)(C)C,735.0,2.8690989930933957,3.85651267175044,259.0594034355309,402.67030331474507,0.0018,112.21599999999998,
CC(C)C(C)C=C,701.0,2.776818067723383,3.8130136842111244,245.82620483093493,9.094947017729282e-13,4.336808689942018e-18,98.189,
CCCC(C)C(C)CC,731.4,3.47294714929007,3.904960546719562,247.06623654315445,9.094947017729282e-13,4.336808689942018e-18,128.259,
CCC(C)C(C)CC,715.16,3.2428191992610906,3.9267817431761296,251.1869716587774,9.094947017729282e-13,4.336808689942018e-18,114.23199999999999,
CCC(C)CC(C)CC,719.9,2.683756215580668,4.154893318334561,286.33902768174187,9.094947017729282e-13,4.336808689942018e-18,128.259,
CCC(CC)C=C,694.8,2.805189488546146,3.8133157248848337,249.43369120072674,0.021025041583300208,0.00020000000000000356,98.189,
CCC(C(C)C)C(C)C,736.5,3.1916558133939112,3.9552267152114537,253.7373882772275,9.094947017729282e-13,4.336808689942018e-18,128.259,
CCC(C)C(CC)CC,738.0,3.2248585524302023,3.922618681685692,251.15564676776728,9.094947017729282e-13,4.336808689942018e-18,128.259,
CCCCC(CC)CC,725.1,2.8951717217173933,4.187132562466229,301.2625941584435,23.677387641317296,0.00010000000000000417,128.259,
CCCC(CC)CC,709.48,3.444310538426416,3.88455514890312,246.52258325196993,9.094947017729282e-13,4.336808689942018e-18,114.232,
CCCC=CCC,701.6,2.7784689797877906,3.6734542152479888,245.57289875067738,9.094947017729282e-13,4.336808689942018e-18,98.189,
CCC=CCC,678.8,2.7004551909117613,3.64002502832306,240.79458772579676,9.094947017729282e-13,4.336808689942018e-18,84.162,
CCCCC(C)C=C,719.0,3.202561170340739,3.8177756199912736,242.835124036291,23.677387641317296,0.00010000000000000417,112.21599999999998,
CC(C)C=C,621.3,2.6811506269210312,3.7803006273336424,254.90438027738264,9.094947017729282e-13,4.336808689942018e-18,70.135,
CCC(C)(CC)CC,723.54,3.059625958149791,4.0460078192025835,261.6396181770282,9.094947017729282e-13,4.336808689942018e-18,114.23199999999999,
CCC=C(C)CC,714.0,3.562792657701706,3.7700319347528937,419.4327044428834,271.9291410615232,0.0013000000000000006,98.189,
CC1=COC=C1,923.0,3.171834250691475,3.6137049585012986,278.9999296676826,9.094947017729282e-13,4.336808689942018e-18,82.10199999999999,
CCCCCC(C)CC,720.5,3.505158124478795,3.851540433721958,243.97676688121524,9.094947017729282e-13,4.336808689942018e-18,128.259,
CCC(CC)CC,693.77,3.1504444353968504,3.876790335998865,246.74456184294854,9.094947017729282e-13,4.336808689942018e-18,100.205,
CCCCC(=O)CC,812.8,3.4790212492526216,3.976502427557596,297.16434829348873,34.09875239016054,0.0005000000000000028,114.18799999999999,
CCCC(=O)CC,821.6,3.564258899208874,3.6705878350248002,267.60200987398053,9.094947017729282e-13,4.336808689942018e-18,100.16099999999999,
CC(C)CCO,806.31,3.7466113552931333,3.4052914315261336,247.21942928627817,2348.5485922556677,0.010000000000000002,88.14999999999999,
CCCC(C)C=C,694.5,3.1191612058284512,3.809800056356557,240.66620656256075,9.094947017729282e-13,4.336808689942018e-18,98.189,
CCC(C)C=C,670.0,2.961828369125821,3.7517794295055777,247.80001810429334,9.094947017729282e-13,4.336808689942018e-18,84.16199999999999,
CC(C)C(C)O,812.31,3.8412696930590293,3.390630119656285,230.49973568968682,1922.6889256004285,0.0099,88.14999999999999,
CCC(C)C(C)O,811.0,3.604241215978117,3.5911842393485163,241.73032797114323,2196.4682013618144,0.010000000000000002,102.17699999999998,
CCCCC(C)CC,701.75,3.5186428662777502,3.8824511925304224,246.53019795561804,23.677387641317296,0.00010000000000000417,114.23199999999999,
