rank,smiles,mixture_cn,cn_error,cn_score,ysi,chemical_valid,chemical_flags,ood_warning,confidence_score,mixture_dcn,blend_ratio,ad_score,in_domain,mixture_ysi,mixture_bp,mixture_density
64,CCCCCCCCCCCCC(C)CCCC,73.60119683646293,3.3988031635370675,73.60119683646293,110.48271339742148,True,OK,False,100.0,73.60119683646293,0.4,0.12598064092646688,True,110.48271339742148,270.09521473022687,798.8099221841295
65,CCC=CCC=CCCCCCCC(CCCCCC)CCCCCC,73.58442194453455,3.4155780554654456,73.58442194453455,127.53525653027555,True,OK,False,100.0,73.58442194453455,0.4,0.05796759506162952,True,127.53525653027555,321.1990887470697,810.375591078682
66,C#CCCCCCCCCCCCCCCCC(CC)CC,80.4786335578269,3.478633557826896,80.4786335578269,123.86159854369119,True,OK,False,100.0,80.4786335578269,0.4,0.029705133807969908,True,123.86159854369119,295.3080502325115,795.1977110811154
67,CCCCCCOCCCCC,73.5125480845721,3.487451915427897,73.5125480845721,90.08285849448048,True,OK,False,100.0,73.5125480845721,0.4,0.18952606312646325,True,90.08285849448048,227.75500481376923,793.2572908366684
68,CCCCCCCCCC(C)CCCCCCCC,73.4014307307094,3.598569269290607,73.4014307307094,113.93499963071037,True,OK,False,100.0,73.4014307307094,0.4,0.1193647372941774,True,113.93499963071037,276.95718071434555,798.4818387138818
69,CCCC(C)CCCCCCCCCCC(CC)CC,73.05558091580475,3.9444190841952462,73.05558091580475,115.5707190880915,True,OK,False,100.0,73.05558091580475,0.4,0.10659753313665499,True,115.5707190880915,283.74644973073725,797.4157742071085
70,CC=CCCCCCOCCCCCCC,72.96227495240122,4.037725047598784,72.96227495240122,102.73727958063157,True,OK,False,100.0,72.96227495240122,0.4,0.13931744674823088,True,102.73727958063157,255.95277820812953,796.4933570057647
71,CCCCC=CCCCCCCC(CCCCCCC)CCCC(C)(C)C,72.91704240966303,4.082957590336974,72.91704240966303,127.64149263507748,True,OK,False,100.0,72.91704240966303,0.4,0.045221452003049833,True,127.64149263507748,329.35525814672997,794.9470557168584
72,CCCCCCCOCCCC,72.80441706997986,4.195582930020137,72.80441706997986,90.0025585319127,True,OK,False,100.0,72.80441706997986,0.4,0.19511710484106015,True,90.0025585319127,227.75147957293166,793.2260487458395
73,CCCCC=CCC=CCCCCCC(CCCCCC)CCCCC(C)CC,72.53575826811834,4.464241731881657,72.53575826811834,128.2932155297258,True,OK,False,100.0,72.53575826811834,0.4,0.06424166118356267,True,128.2932155297258,340.00252835442666,810.0405977831858
74,CCCCCCCCCCCCCC,72.35723862427798,4.642761375722017,72.35723862427798,102.24153402524244,True,OK,False,100.0,72.35723862427798,0.4,0.14746204263197105,True,102.24153402524244,241.74696850147507,797.1176571338432
75,CCCCCOCCCCC(C)CC,72.23091097090966,4.769089029090338,72.23091097090966,95.82766099453227,True,OK,False,100.0,72.23091097090966,0.4,0.1817990643420987,True,95.82766099453227,242.40031422748984,793.245894010159
76,CCCCC=CCC=CCCCCCC(CCCCCC)CCCCCC,72.19324753955947,4.806752460440535,72.19324753955947,127.75461051070462,True,OK,False,100.0,72.19324753955947,0.4,0.07356204548616208,True,127.75461051070462,327.50735823082186,810.2835925415092
77,CCCCOCCCC,72.08563803706792,4.914361962932077,72.08563803706792,84.69961648639593,True,OK,False,100.0,72.08563803706792,0.4,0.20622710900082442,True,84.69961648639593,205.63054237557697,796.792107813846
78,CCCCCCC(CCCCCC)CCCCCCC=CCCCCO,71.63961106107043,5.3603889389295745,71.63961106107043,127.62144396927384,True,OK,False,100.0,71.63961106107043,0.4,0.007845279713741049,True,127.62144396927384,322.51571805997867,832.587870521948
79,CCCCCCOCCCC,71.3553731378041,5.644626862195906,71.3553731378041,86.97371347989977,True,OK,False,100.0,71.3553731378041,0.4,0.2048959753157079,True,86.97371347989977,220.43680037612842,794.328880015614
80,CCCCC=CCCCCCCC(CCCCCC)CCCC(=O)CC,71.34720948129544,5.652790518704563,71.34720948129544,127.35593978875396,True,OK,False,100.0,71.34720948129544,0.4,0.04505243188930097,True,127.35593978875396,321.6616624073524,831.0446121201762
