SMILES,EX_Boiling Point
CCOC(=O)CC(C)C,135.0
CCCCCCCCCCCC(=O)OCC,276.0
CCOC(=O)CCC(=O)C,205.8
CCCCCCCCCCCCCC(=O)OCC,308.0
CCCCCCCC(=O)OCC,206.0
CCCCCCCCCCCCCCCC(=O)OCC,334.0
CCCCC(=O)OCC,142.0
CCCCCCCCCCCCCCCCCC(=O)OCC,356.0
CCOC(=O)C(=CC)C,156.0
CCC1=CC=CC=C1,136.2
CCC1CCCCC1,131.8
CCC1CCCC1,103.5
C1C2=CC=CC=C2C3=CC=CC=C31,294.0
C1=COC=C1,31.3
CCCCCCC1CCC(=O)O1,301.0
CC1CCC(=O)O1,204.0
CC(=CCCC(=CCO)C)C,229.0
COC1=CC=CC=C1O,204.0
CCCCCCC=O,153.0
C(CCC(=O)O)CCC(=O)O,342.0
CCCCCCC(=O)O,222.0
CCCCCCCC1CCCC1,224.0
CCCC#CC,84.3
CCC#CCC,81.5
CCCCCCCCCCCCCCCCOC(=O)C,222.0
CC1=C(C(=C(C(=C1C)C)C)C)C,268.0
CCCCCC=O,129.6
CCCCCCOC(=O)C,171.1
CCCCCCOC(=O)CCC,207.0
CCCCCCOC(=O)CCCCC,241.0
CCCCCCOC,125.0
C1C=CC2=CC=CC=C21,182.0
CC(C)CC1CCCCC1,171.3
CC(C)CCOCCC(C)C,172.0
CC(C)C=O,64.1
CC(C)COC(=O)C,116.9
CC(C)COC=O,98.4
CCC(=O)OCC(C)C,136.0
CC(C)C(=O)O,154.4
CC(C)CCOC=O,124.0
CCCC(=O)OC(C)C,129.0
CC(C)OC=O,68.0
CC(C)C1=CC=CC=C1,152.4
CC(C)C1CCCCC1,154.4
CC1=CCC(CC1)C(=C)C,176.0
CC(=CCCC(C)(C=C)O)C,198.0
CC1CCC(C(=O)C1)C(C)C,207.0
CO,64.5
COC1=CC=CC=C1,153.6
CC(=CC(=O)OC)C,136.5
CC(C)CC(=O)OC,116.0
CC(=O)OC,56.7
CCCCCCCCCCCCCCCCCCCC(=O)OC,371.0
CCCCOC,70.1
CCCC(=O)OC,101.9
CCCCCCCCCC(=O)OC,233.0
CCCCCCCCC=CCCCCCCCC(=O)OC,347.0
CCCCCCC(=O)OC,169.7
CCCCCC(=O)OC,151.0
CC(C)C(=O)OC,92.0
CCCCCCCCCCCC(=O)OC,268.0
CC(=O)CCC(=O)OC,196.0
CCC=CCC=CCC=CCCCCCCCC(=O)OC,348.0
CCCCCCCCCCCCCC(=O)OC,295.0
CCCCCCCC(=O)OC,194.1
CCCCCCCCCCCCCCCC(=O)OC,324.0
CCCCC(=O)OC,127.36
CCC(=O)OC,78.6
CCCOC,38.5
CC=CC=CC(=O)OC,185.0
CCCCCCCCCCCCCCCCCC(=O)OC,353.0
CCC(C)(C)OC,86.4
CC(C)(C)OC,55.1
COC(=O)C=C,80.1
CCC=CCC(=O)OC,67.0
CC1CCCCC1,100.9
CC1CCCC1,71.8
CCCCCCCCCCCCC(=O)O,236.0
CCCC,-0.5
CCCCC1=CC=CC=C1,183.3
CCCCCCCCCC,174.1
CCCCCCCCCCC1=CC=CC=C1,298.0
CCCCCCCCCCCC,216.3
CCCCCCCCCCCCCCCCCCCC,344.1
CCCCCCCCCCCCCCCCC,303.0
CCCCCCC,98.38
CCCCCCCC1=CC=CC=C1,242.0
CCCCCCCCCCCCCCCC,286.9
CCCCCC,68.72
CCCCCCC1=CC=CC=C1,226.0
CCCCCCCCCCCCCCCCCCC,330.0
CCCCCCCCC,150.8
CCCCCCCCCC1=CC=CC=C1,280.0
CCCCCCCCCCCCCCCCCC,316.0
CCCCCCCC,125.62
CCCCCCCCC1=CC=CC=C1,263.0
CCCCCCCCCCCCCCC,270.6
CCCCC,36.06
CCCCCC1=CC=CC=C1,203.0
CCC,-42.11
CCCCCCCCCCCCCC,253.5
CCCCCCCCCCCCCCC1=CC=CC=C1,347.0
CCCCCCCCCCCCC,235.4
CCCCCCCCCCCCCC1=CC=CC=C1,340.0
CCCCCCCCCCC,195.9
CCCCCCCCCCCC1=CC=CC=C1,312.0
C1=CC=C2C=CC=CC2=C1,218.0
CCCCCCCCCCCCCCCCCCC(=O)O,297.0
CCCCCCCCC=O,195.0
CCCCCCCCC(=O)O,256.0
CCCCCCCC=O,174.0
C(CCCC(=O)O)CCC(=O)O,345.5
CCCCCCCC(=O)O,240.0
CCCCCCCCCCCCCCC(=O)O,257.0
CCCCC=O,103.0
CCCCCOC(=O)C,149.4
CCCCCOC=O,126.0
CCCCCOC(=O)CCCC,204.0
C1CCC2C(C1)CCC3C2CCCC3,284.0
C#CC1=CC=CC=C1,143.0
CCC=O,48.0
C=CC=O,52.3
CCCOC(=O)C(C)C,134.0
CCCOC=O,80.6
CCCCC(=O)OCCC,167.0
CCCOC(=O)CC,122.2
CCCC1=CC=CC=C1,159.2
CCCC1CCCCC1,156.7
CC(COC)OC(=O)C,146.0
C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,394.0
C(CCCCC(=O)O)CCCC(=O)O,374.0
CCC(C)OC=O,93.6
CCCC(C)OC(=O)C,142.0
CCC(C)OC(=O)C,108.0
C=CC1=CC=CC=C1,145.3
C(CC(=O)O)C(=O)O,234.0
CC(C)(C)C1CCCCC1,171.6
CC(C)(C)O,82.3
CC(=O)OC(C)(C)C,97.9
CCOC(C)(C)C,72.7
CC(C)(C)OC=O,83.0
C1CCOC1,66.0
CC(=O)OCC1CCCO1,193.0
C1CC(OC1)CO,176.3
C1CCOCC1,88.0
COC(OC)(OC)OC,132.0
CC1=CC=CC=C1,110.6
CC=CC=O,102.2
COCCOCCOCCO,243.0
COCCOCCOCCOC,218.0
COC(OC)OC,100.0
CC(=O)OC=C,72.6
