source_paper,fuel_name,is_biodiesel,fuel_type,feedstock_type,boiling_point,melting_point,flash_point_C,density_kg_m3,dynamic_viscosity_at_20,dynamic_viscosity_at_60,lower_heating_value_MJ_kg,cetane_number,engine_type,engine_speed,injection_pressure_bar,IMEP_bar,CIN_injection_timing_CAD_BTDC,CIN_ignition_delay_CAD,CIN_indicated_thermal_efficiency,CIN_injection_duration,CIN_peak_pressure_bar,CIN_peak_HRR_J_deg,CIN_max_average_temp_K,CIN_NOx_ppm,CIN_CO_ppm,CIN_THC_ppm,CIN_particulate_mass_mg_m3,CIG_ignition_timing_CAD_BTDC,CIG_ignition_delay_CAD,CIG_indicated_thermal_efficiency,CIG_injection_duration,CIG_peak_pressure_bar,CIG_peak_HRR_J_deg,CIG_max_average_temp_K,CIG_NOx_ppm,CIG_CO_ppm,CIG_THC_ppm,CIG_particulate_mass_mg_m3,2_EHN_dosage_ppm,CID_injection_timing_CAD_BTDC,CID_ignition_timing_CAD_BTDC,CID_ignition_delay_CAD,CID_indicated_thermal_efficiency,CID_injection_duration,CID_peak_pressure_bar,CID_peak_HRR_J_deg,CID_max_average_temp_K,CID_NOx_ppm,CID_CO_ppm,CID_THC_ppm,CID_particulate_mass_mg_m3
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",2-Nonanol,,,Alcohol,472.0,,,820.0,9.44,,,,Compression Ignition,1200,600,,7.5,6.39892499601582,,,,,,845.208854717613,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",5-Nonanol,,,Alcohol,468.0,,,818.0,9.03,,,,Compression Ignition,1200,600,,7.5,8.38116280080553,,,,,,810.231243849114,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",1-Decanol,,,Alcohol,503.0,,,825.0,11.17,,,,Compression Ignition,1200,600,,7.5,5.651,,,,,,807.777548440362,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",1-Decen-3-ol,,,Alcohol,489.0,,,837.0,,,,,Compression Ignition,1200,600,,7.5,7.2462,,,,,,1118.99816351086,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",1-Undecanol,,,Alcohol,518.0,,,831.0,14.73,,,,Compression Ignition,1200,600,,7.5,5.1100153752637,,,,,,819.2484326221,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",2-Undecanol,,,Alcohol,508.0,,,823.0,15.36,,,,Compression Ignition,1200,600,,7.5,5.61,,,,,,802.32462137826,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",10-Undecen-1-ol,,,Alcohol,523.0,,,850.0,,,,,Compression Ignition,1200,600,,7.5,5.1100153752637,,,,,,923.771634812566,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules","3,7-Dimethyl-1-octanol",,,Alcohol,485.0,,,832.0,13.66,,,,Compression Ignition,1200,600,,7.5,7.91,,,,,,985.933642849054,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules","3,7-Dimethyl-3-octanol",,,Alcohol,469.0,,,826.0,11.06,,,,Compression Ignition,1200,600,,7.5,7.71,,,,,,308.655871362246,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",1-Dodecanol,,,Alcohol,535.0,,,830.0,16.34,,,,Compression Ignition,1200,600,,7.5,4.49263775163585,,,,,,836.361877241414,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",1-Tetradecanol,,,Alcohol,560.0,,,824.0,,,,,Compression Ignition,1200,600,,7.5,4.31708084528194,,,,,,808.528341804484,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",1-Hexadecanol,,,Alcohol,585.0,,,818.0,,,,,Compression Ignition,1200,600,,7.5,3.72803661458147,,,,,,812.669315513816,,,,,,,,,,,,,,,,,,,,,,,,,,,
