rank,smiles,cn,cn_error,cn_score,ysi,chemical_valid,chemical_flags,ood_warning,confidence_score,mixture_dcn,blend_ratio,ad_score,in_domain,mixture_ysi
54,COC(C)CO,47.29240736211743,7.70759263788257,47.29240736211743,32.4107642212455,True,OK,False,100.0,47.29240736211743,0.3,0.03440652710340908,True,32.4107642212455
55,CCOC(=O)CCCCCCCO,47.019953105154016,7.980046894845984,47.019953105154016,46.84383745747252,True,OK,False,100.0,47.019953105154016,0.3,0.06785145050265773,True,46.84383745747252
56,CCCCCOC(C)C,63.10402069646612,8.104020696466122,63.10402069646612,40.88002063867063,True,OK,False,100.0,63.10402069646612,0.3,0.10027013105504379,True,40.88002063867063
57,CCOCCOCCO,63.511622337342644,8.511622337342644,63.511622337342644,32.39655823661221,True,OK,False,100.0,63.511622337342644,0.3,0.05498093516309044,True,32.39655823661221
58,C=CCCCCCCCO,46.46676315079459,8.533236849205409,46.46676315079459,45.603117887417184,True,OK,False,100.0,46.46676315079459,0.3,0.10496436869324843,True,45.603117887417184
59,CCCC(C)(C)C,46.049817025622524,8.950182974377476,46.049817025622524,42.3491427997326,True,OK,False,100.0,46.049817025622524,0.3,0.06754964951711406,True,42.3491427997326
60,CC(O)CCCCCC=O,46.01412093739624,8.985879062603757,46.01412093739624,40.63268577713917,True,OK,False,100.0,46.01412093739624,0.3,0.03664680701506773,True,40.63268577713917
61,CCCC(=O)OCCO,45.1767039591784,9.823296040821603,45.1767039591784,34.95080643128846,True,OK,False,100.0,45.1767039591784,0.3,0.03806344547024931,True,34.95080643128846
62,CC(=O)CC(C)C,44.984917098983935,10.015082901016065,44.984917098983935,37.077552103963924,True,OK,False,100.0,44.984917098983935,0.3,0.025210133967668247,True,37.077552103963924
63,C=CCCCCCCO,44.70265987940604,10.297340120593958,44.70265987940604,41.11911315165311,True,OK,False,100.0,44.70265987940604,0.3,0.10605488732985646,True,41.11911315165311
64,CCOCC,65.36274437175194,10.362744371751944,65.36274437175194,33.54889042426098,True,OK,False,100.0,65.36274437175194,0.3,0.04403497194422745,True,33.54889042426098
65,COCC(C)OC,66.08541449328014,11.08541449328014,66.08541449328014,32.583830159871454,True,OK,False,100.0,66.08541449328014,0.3,0.021331336988723026,True,32.583830159871454
66,CCCCCCCCOC,66.32723227263736,11.32723227263736,66.32723227263736,43.83929586956218,True,OK,False,100.0,66.32723227263736,0.3,0.05910532220490872,True,43.83929586956218
67,CCCCCCOCC,67.33901200116435,12.339012001164349,67.33901200116435,38.94925533196837,True,OK,False,100.0,67.33901200116435,0.3,0.06456009423673925,True,38.94925533196837
68,COCCOC(C)C,67.91769145144985,12.917691451449855,67.91769145144985,34.211994966158,True,OK,False,100.0,67.91769145144985,0.3,0.0803852395729231,True,34.211994966158
69,CCOCC(C)OC,68.81351448901154,13.813514489011538,68.81351448901154,33.80549612741436,True,OK,False,100.0,68.81351448901154,0.3,0.033409442714606885,True,33.80549612741436
