Name,mixture_components,fuel_type,ignition_delay_CAD,fuel_1,fraction_fuel_1,fuel_2,fraction_fuel_2,fuel_3,fraction_fuel_3,fuel_4,fraction_fuel_4,fuel_5,fraction_fuel_5,fuel_6,fraction_fuel_6,fuel_7,fraction_fuel_7,fuel_8,fraction_fuel_8,fuel_9,fraction_fuel_9,fuel_10,fraction_fuel_10,fuel_11,fraction_fuel_11,CN_Measured,CN_Regression,YSI_Unified_Measured,YSI_Unified_Regression,fuel_type_smiles,fuel_1_smiles,fuel_2_smiles,fuel_3_smiles,fuel_4_smiles,fuel_5_smiles,fuel_6_smiles,fuel_7_smiles,fuel_8_smiles,fuel_9_smiles,fuel_10_smiles,fuel_11_smiles
16.91%iso-octane-83.09%tetralin,"iso-octane: 16.91, tetralin: 83.09",,,iso-octane,0.1691,tetralin,0.8309,,,,,,,,,,,,,,,,,,,9,8.983477245,,,,CC(C)CC(C)(C)C,C1CCC2=CC=CC=C2C1,,,,,,,,,
8.29%iso-octane-91.71%tetralin,"iso-octane: 8.29, tetralin: 91.71",,,iso-octane,0.0829,tetralin,0.9171,,,,,,,,,,,,,,,,,,,8.92,8.920446101,,,,CC(C)CC(C)(C)C,C1CCC2=CC=CC=C2C1,,,,,,,,,
35.4%n-decane-64.6%iso-octane,"n-decane: 35.4, iso-octane: 64.6",,,n-decane,0.354,iso-octane,0.646,,,,,,,,,,,,,,,,,,,45,43.9727555,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
46.7%n-decane-53.3%iso-octane,"n-decane: 46.7, iso-octane: 53.3",,,n-decane,0.467,iso-octane,0.533,,,,,,,,,,,,,,,,,,,50,49.29043469,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
61%n-decane-39%iso-octane,"n-decane: 61, iso-octane: 39",,,n-decane,0.61,iso-octane,0.39,,,,,,,,,,,,,,,,,,,55,53.08696152,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
74.4%n-decane-25.6%iso-octane,"n-decane: 74.4, iso-octane: 25.6",,,n-decane,0.744,iso-octane,0.256,,,,,,,,,,,,,,,,,,,59.1,57.66757513,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
93.4%n-decane-6.6%iso-octane,"n-decane: 93.4, iso-octane: 6.6",,,n-decane,0.934,iso-octane,0.066,,,,,,,,,,,,,,,,,,,65,66.10986536,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
79.6%n-decane-20.4%toluene,"n-decane: 79.6, toluene: 20.4",,,n-decane,0.796,toluene,0.204,,,,,,,,,,,,,,,,,,,62.14,62.4503641,,,,CCCCCCCCCC,CC1=CC=CC=C1,,,,,,,,,
59.2%n-decane-40.8%toluene,"n-decane: 59.2, toluene: 40.8",,,n-decane,0.592,toluene,0.408,,,,,,,,,,,,,,,,,,,54.14,53.41409438,,,,CCCCCCCCCC,CC1=CC=CC=C1,,,,,,,,,
19.6%n-decane-80.4%toluene,"n-decane: 19.6, toluene: 80.4",,,n-decane,0.196,toluene,0.804,,,,,,,,,,,,,,,,,,,28.58,25.8476017,,,,CCCCCCCCCC,CC1=CC=CC=C1,,,,,,,,,
39.8%n-decane-60.2%toluene,"n-decane: 39.8, toluene: 60.2",,,n-decane,0.398,toluene,0.602,,,,,,,,,,,,,,,,,,,44.18,42.05832156,,,,CCCCCCCCCC,CC1=CC=CC=C1,,,,,,,,,
80.7%n-decane-19.3%iso-octane,"n-decane: 80.7, iso-octane: 19.3",,,n-decane,0.807,iso-octane,0.193,,,,,,,,,,,,,,,,,,,61.21,52.06863973,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
60.3%n-decane-39.7%iso-octane,"n-decane: 60.3, iso-octane: 39.7",,,n-decane,0.603,iso-octane,0.397,,,,,,,,,,,,,,,,,,,55.08,51.79443968,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
40%n-decane-60%iso-octane,"n-decane: 40, iso-octane: 60",,,n-decane,0.4,iso-octane,0.6,,,,,,,,,,,,,,,,,,,46.93,42.27635589,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
20.1%n-decane-79.9%iso-octane,"n-decane: 20.1, iso-octane: 79.9",,,n-decane,0.201,iso-octane,0.799,,,,,,,,,,,,,,,,,,,36.59,33.71923292,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
80.7%n-decane-19.3%iso-octane,"n-decane: 80.7, iso-octane: 19.3",,,n-decane,0.807,iso-octane,0.193,,,,,,,,,,,,,,,,,,,36.93,52.06863973,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
60.3%n-decane-39.7%iso-octane,"n-decane: 60.3, iso-octane: 39.7",,,n-decane,0.603,iso-octane,0.397,,,,,,,,,,,,,,,,,,,43.27,51.79443968,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
40%n-decane-60%iso-octane,"n-decane: 40, iso-octane: 60",,,n-decane,0.4,iso-octane,0.6,,,,,,,,,,,,,,,,,,,32.99,42.27635589,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
20.1%n-decane-79.9%iso-octane,"n-decane: 20.1, iso-octane: 79.9",,,n-decane,0.201,iso-octane,0.799,,,,,,,,,,,,,,,,,,,31.66,33.71923292,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
68.3%n-decane-17.2%iso-octane-14.5%toluene,"n-decane: 68.3, iso-octane: 17.2, toluene: 14.5",,,n-decane,0.683,iso-octane,0.172,toluene,0.145,,,,,,,,,,,,,,,,,57.14,56.83198392,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,
37.6%n-decane-45.4%iso-octane-17%toluene,"n-decane: 37.6, iso-octane: 45.4, toluene: 17",,,n-decane,0.376,iso-octane,0.454,toluene,0.17,,,,,,,,,,,,,,,,,45.52,44.14790767,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,
26.1%n-dodecane-73.9%iso-octane,"n-dodecane: 26.1, iso-octane: 73.9",,,n-dodecane,0.261,iso-octane,0.739,,,,,,,,,,,,,,,,,,,45,43.81472931,,,,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
34.6%n-dodecane-65.4%iso-octane,"n-dodecane: 34.6, iso-octane: 65.4",,,n-dodecane,0.346,iso-octane,0.654,,,,,,,,,,,,,,,,,,,50,48.89623842,,,,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
44.2%n-dodecane-55.8%iso-octane,"n-dodecane: 44.2, iso-octane: 55.8",,,n-dodecane,0.442,iso-octane,0.558,,,,,,,,,,,,,,,,,,,55,54.59248534,,,,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
51.9%n-dodecane-48.1%iso-octane,"n-dodecane: 51.9, iso-octane: 48.1",,,n-dodecane,0.519,iso-octane,0.481,,,,,,,,,,,,,,,,,,,59.1,58.26822905,,,,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
66.2%n-dodecane-33.8%iso-octane,"n-dodecane: 66.2, iso-octane: 33.8",,,n-dodecane,0.662,iso-octane,0.338,,,,,,,,,,,,,,,,,,,65,63.51976197,,,,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
28.6%n-cetane-71.4%iso-cetane,"n-cetane: 28.6, iso-cetane: 71.4",,,n-cetane,0.286,iso-cetane,0.714,,,,,,,,,,,,,,,,,,,45,43.70453567,,,,CCCCCCCCCCCCCCCC,C(C)(C)CC(C)CC(C)(C)CC(C)(C)C,,,,,,,,,
34.9%n-cetane-65.1%iso-cetane,"n-cetane: 34.9, iso-cetane: 65.1",,,n-cetane,0.349,iso-cetane,0.651,,,,,,,,,,,,,,,,,,,50,49.9805897,,,,CCCCCCCCCCCCCCCC,C(C)(C)CC(C)CC(C)(C)CC(C)(C)C,,,,,,,,,
41%n-cetane-59%iso-cetane,"n-cetane: 41, iso-cetane: 59",,,n-cetane,0.41,iso-cetane,0.59,,,,,,,,,,,,,,,,,,,55,53.22515743,,,,CCCCCCCCCCCCCCCC,C(C)(C)CC(C)CC(C)(C)CC(C)(C)C,,,,,,,,,
45.9%n-cetane-54.1%iso-cetane,"n-cetane: 45.9, iso-cetane: 54.1",,,n-cetane,0.459,iso-cetane,0.541,,,,,,,,,,,,,,,,,,,59.1,58.90002088,,,,CCCCCCCCCCCCCCCC,C(C)(C)CC(C)CC(C)(C)CC(C)(C)C,,,,,,,,,
52.7%n-cetane-47.3%iso-cetane,"n-cetane: 52.7, iso-cetane: 47.3",,,n-cetane,0.527,iso-cetane,0.473,,,,,,,,,,,,,,,,,,,65,62.87186211,,,,CCCCCCCCCCCCCCCC,C(C)(C)CC(C)CC(C)(C)CC(C)(C)C,,,,,,,,,
26.1%n-dodecane-73.9%iso-octane,"n-dodecane: 26.1, iso-octane: 73.9",,,n-dodecane,0.261,iso-octane,0.739,,,,,,,,,,,,,,,,,,,45,41.83021928,,,,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
34.6%n-dodecane-65.4%iso-octane,"n-dodecane: 34.6, iso-octane: 65.4",,,n-dodecane,0.346,iso-octane,0.654,,,,,,,,,,,,,,,,,,,50,47.70464804,,,,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
44.2%n-dodecane-55.8%iso-octane,"n-dodecane: 44.2, iso-octane: 55.8",,,n-dodecane,0.442,iso-octane,0.558,,,,,,,,,,,,,,,,,,,55,53.54831486,,,,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
51.9%n-dodecane-48.1%iso-octane,"n-dodecane: 51.9, iso-octane: 48.1",,,n-dodecane,0.519,iso-octane,0.481,,,,,,,,,,,,,,,,,,,59.1,57.93492912,,,,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
66.2%n-dodecane-33.8%iso-octane,"n-dodecane: 66.2, iso-octane: 33.8",,,n-dodecane,0.662,iso-octane,0.338,,,,,,,,,,,,,,,,,,,65,64.79980732,,,,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
35.4%n-decane-64.6%iso-octane,"n-decane: 35.4, iso-octane: 64.6",,,n-decane,0.354,iso-octane,0.646,,,,,,,,,,,,,,,,,,,45,43.9727555,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
46.7%n-decane-53.3%iso-octane,"n-decane: 46.7, iso-octane: 53.3",,,n-decane,0.467,iso-octane,0.533,,,,,,,,,,,,,,,,,,,50,49.29043469,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
61%n-decane-39%iso-octane,"n-decane: 61, iso-octane: 39",,,n-decane,0.61,iso-octane,0.39,,,,,,,,,,,,,,,,,,,55,53.08696152,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
74.4%n-decane-25.6%iso-octane,"n-decane: 74.4, iso-octane: 25.6",,,n-decane,0.744,iso-octane,0.256,,,,,,,,,,,,,,,,,,,59.1,57.66757513,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
93.4%n-decane-6.6%iso-octane,"n-decane: 93.4, iso-octane: 6.6",,,n-decane,0.934,iso-octane,0.066,,,,,,,,,,,,,,,,,,,65,66.10986536,,,,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
20.37%n-heptane-79.63%n-butylcyclohexane,"n-heptane: 20.37, n-butylcyclohexane: 79.63",,,n-heptane,0.2037,n-butylcyclohexane,0.7963,,,,,,,,,,,,,,,,,,,48.4915,48.31914969,,,,CCCCCCC,CCCCC1CCCCC1,,,,,,,,,
40.56%n-heptane-59.44%n-butylcyclohexane,"n-heptane: 40.56, n-butylcyclohexane: 59.44",,,n-heptane,0.4056,n-butylcyclohexane,0.5944,,,,,,,,,,,,,,,,,,,49.4207,49.32401062,,,,CCCCCCC,CCCCC1CCCCC1,,,,,,,,,
59.96%n-heptane-40.04%n-butylcyclohexane,"n-heptane: 59.96, n-butylcyclohexane: 40.04",,,n-heptane,0.5996,n-butylcyclohexane,0.4004,,,,,,,,,,,,,,,,,,,50.2142,50.25797687,,,,CCCCCCC,CCCCC1CCCCC1,,,,,,,,,
79.68%n-heptane-20.32%n-butylcyclohexane,"n-heptane: 79.68, n-butylcyclohexane: 20.32",,,n-heptane,0.7968,n-butylcyclohexane,0.2032,,,,,,,,,,,,,,,,,,,51.4173,51.64956746,,,,CCCCCCC,CCCCC1CCCCC1,,,,,,,,,
19.93%n-heptane-80.07%decalin,"n-heptane: 19.93, decalin: 80.07",,,n-heptane,0.1993,decalin,0.8007,,,,,,,,,,,,,,,,,,,40.4283,40.17546066,,,,CCCCCCC,C1CCC2CCCCC2C1,,,,,,,,,
39.8%n-heptane-60.2%decalin,"n-heptane: 39.8, decalin: 60.2",,,n-heptane,0.398,decalin,0.602,,,,,,,,,,,,,,,,,,,42.998,42.46286118,,,,CCCCCCC,C1CCC2CCCCC2C1,,,,,,,,,
59.82%n-heptane-40.18%decalin,"n-heptane: 59.82, decalin: 40.18",,,n-heptane,0.5982,decalin,0.4018,,,,,,,,,,,,,,,,,,,45.4308,45.0952782,,,,CCCCCCC,C1CCC2CCCCC2C1,,,,,,,,,
79.84%n-heptane-20.16%decalin,"n-heptane: 79.84, decalin: 20.16",,,n-heptane,0.7984,decalin,0.2016,,,,,,,,,,,,,,,,,,,50.4604,49.88029827,,,,CCCCCCC,C1CCC2CCCCC2C1,,,,,,,,,
39.96%n-heptane-60.04%cycloheptane,"n-heptane: 39.96, cycloheptane: 60.04",,,n-heptane,0.3996,cycloheptane,0.6004,,,,,,,,,,,,,,,,,,,40.1276,37.08511837,,,,CCCCCCC,C1CCCCCC1,,,,,,,,,
60.76%n-heptane-39.24%cycloheptane,"n-heptane: 60.76, cycloheptane: 39.24",,,n-heptane,0.6076,cycloheptane,0.3924,,,,,,,,,,,,,,,,,,,44.0627,42.06371395,,,,CCCCCCC,C1CCCCCC1,,,,,,,,,
79.69%n-heptane-20.31%cycloheptane,"n-heptane: 79.69, cycloheptane: 20.31",,,n-heptane,0.7969,cycloheptane,0.2031,,,,,,,,,,,,,,,,,,,48.8205,47.49291549,,,,CCCCCCC,C1CCCCCC1,,,,,,,,,
20.11%n-heptane-79.89%methylcyclohexane,"n-heptane: 20.11, methylcyclohexane: 79.89",,,n-heptane,0.2011,methylcyclohexane,0.7989,,,,,,,,,,,,,,,,,,,29.6308,29.20362981,,,,CCCCCCC,CC1CCCCC1,,,,,,,,,
40.12%n-heptane-59.88%methylcyclohexane,"n-heptane: 40.12, methylcyclohexane: 59.88",,,n-heptane,0.4012,methylcyclohexane,0.5988,,,,,,,,,,,,,,,,,,,35.8905,35.50723894,,,,CCCCCCC,CC1CCCCC1,,,,,,,,,
60.3%n-heptane-39.7%methylcyclohexane,"n-heptane: 60.3, methylcyclohexane: 39.7",,,n-heptane,0.603,methylcyclohexane,0.397,,,,,,,,,,,,,,,,,,,41.6032,41.38058505,,,,CCCCCCC,CC1CCCCC1,,,,,,,,,
79.69%n-heptane-20.31%methylcyclohexane,"n-heptane: 79.69, methylcyclohexane: 20.31",,,n-heptane,0.7969,methylcyclohexane,0.2031,,,,,,,,,,,,,,,,,,,47.7271,47.14625302,,,,CCCCCCC,CC1CCCCC1,,,,,,,,,
19.80%n-heptane-80.20%cyclooctane,"n-heptane: 19.80, cyclooctane: 80.20",,,n-heptane,0.198,cyclooctane,0.802,,,,,,,,,,,,,,,,,,,27.5811,27.2153866,,,,CCCCCCC,C1CCCCCCC1,,,,,,,,,
39.82%n-heptane-60.18%cyclooctane,"n-heptane: 39.82, cyclooctane: 60.18",,,n-heptane,0.3982,cyclooctane,0.6018,,,,,,,,,,,,,,,,,,,31.7907,32.43511626,,,,CCCCCCC,C1CCCCCCC1,,,,,,,,,
59.84%n-heptane-40.16%cyclooctane,"n-heptane: 59.84, cyclooctane: 40.16",,,n-heptane,0.5984,cyclooctane,0.4016,,,,,,,,,,,,,,,,,,,39.4171,39.43472405,,,,CCCCCCC,C1CCCCCCC1,,,,,,,,,
79.54%n-heptane-20.46%cyclooctane,"n-heptane: 79.54, cyclooctane: 20.46",,,n-heptane,0.7954,cyclooctane,0.2046,,,,,,,,,,,,,,,,,,,45.9505,46.41568041,,,,CCCCCCC,C1CCCCCCC1,,,,,,,,,
20.12%n-heptane-79.88%cyclohexane,"n-heptane: 20.12, cyclohexane: 79.88",,,n-heptane,0.2012,cyclohexane,0.7988,,,,,,,,,,,,,,,,,,,25.1206,23.86454797,,,,CCCCCCC,C1CCCCC1,,,,,,,,,
39.83%n-heptane-60.17%cyclohexane,"n-heptane: 39.83, cyclohexane: 60.17",,,n-heptane,0.3983,cyclohexane,0.6017,,,,,,,,,,,,,,,,,,,30.5606,30.54675589,,,,CCCCCCC,C1CCCCC1,,,,,,,,,
59.84%n-heptane-40.16%cyclohexane,"n-heptane: 59.84, cyclohexane: 40.16",,,n-heptane,0.5984,cyclohexane,0.4016,,,,,,,,,,,,,,,,,,,38.3237,38.82324235,,,,CCCCCCC,C1CCCCC1,,,,,,,,,
80.16%n-heptane-15.43%cyclohexane,"n-heptane: 80.16, cyclohexane: 15.43",,,n-heptane,0.8016,cyclohexane,0.1543,,,,,,,,,,,,,,,,,,,45.403,46.05067437,,,,CCCCCCC,C1CCCCC1,,,,,,,,,
19.83%n-heptane-80.17%cyclopentane,"n-heptane: 19.83, cyclopentane: 80.17",,,n-heptane,0.1983,cyclopentane,0.8017,,,,,,,,,,,,,,,,,,,19.3806,20.82483334,,,,CCCCCCC,C1CCCC1,,,,,,,,,
37.83%n-heptane-62.17%cyclopentane,"n-heptane: 37.83, cyclopentane: 62.17",,,n-heptane,0.3783,cyclopentane,0.6217,,,,,,,,,,,,,,,,,,,24.2763,26.13183236,,,,CCCCCCC,C1CCCC1,,,,,,,,,
59.84%n-heptane-40.16%cyclopentane,"n-heptane: 59.84, cyclopentane: 40.16",,,n-heptane,0.5984,cyclopentane,0.4016,,,,,,,,,,,,,,,,,,,36.6836,37.45182797,,,,CCCCCCC,C1CCCC1,,,,,,,,,
79.85%n-heptane-20.15%cyclopentane,"n-heptane: 79.85, cyclopentane: 20.15",,,n-heptane,0.7985,cyclopentane,0.2015,,,,,,,,,,,,,,,,,,,44.8567,45.4120707,,,,CCCCCCC,C1CCCC1,,,,,,,,,
"88.19%n-hexadecane-11.81%2,2,4,4,6,8,8-heptamethylnonane",n-hexadecane: 88.19,,,n-hexadecane,0.8819,"2,2,4,4,6,8,8-heptamethylnonane",0.1181,,,,,,,,,,,,,,,,,,,90,90.0503745,,,,CCCCCCCCCCCCCCCC,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,,,,,,,,,
"76.4%n-hexadecane-23.6%2,2,4,4,6,8,8-heptamethylnonane",n-hexadecane: 76.4,,,n-hexadecane,0.764,"2,2,4,4,6,8,8-heptamethylnonane",0.236,,,,,,,,,,,,,,,,,,,80,79.98894844,,,,CCCCCCCCCCCCCCCC,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,,,,,,,,,
"64.61%n-hexadecane-35.39%2,2,4,4,6,8,8-heptamethylnonane",n-hexadecane: 64.61,,,n-hexadecane,0.6461,"2,2,4,4,6,8,8-heptamethylnonane",0.3539,,,,,,,,,,,,,,,,,,,70,70.5455452,,,,CCCCCCCCCCCCCCCC,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,,,,,,,,,
"52.84%n-hexadecane-47.16%2,2,4,4,6,8,8-heptamethylnonane",n-hexadecane: 52.84,,,n-hexadecane,0.5284,"2,2,4,4,6,8,8-heptamethylnonane",0.4716,,,,,,,,,,,,,,,,,,,60,62.67819186,,,,CCCCCCCCCCCCCCCC,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,,,,,,,,,
"41.08%n-hexadecane-58.92%2,2,4,4,6,8,8-heptamethylnonane",n-hexadecane: 41.08,,,n-hexadecane,0.4108,"2,2,4,4,6,8,8-heptamethylnonane",0.5892,,,,,,,,,,,,,,,,,,,50,53.13389611,,,,CCCCCCCCCCCCCCCC,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,,,,,,,,,
"29.33%n-hexadecane-70.67%2,2,4,4,6,8,8-heptamethylnonane",n-hexadecane: 29.33,,,n-hexadecane,0.2933,"2,2,4,4,6,8,8-heptamethylnonane",0.7067,,,,,,,,,,,,,,,,,,,40,43.04470362,,,,CCCCCCCCCCCCCCCC,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,,,,,,,,,
"17.59%n-hexadecane-82.41%2,2,4,4,6,8,8-heptamethylnonane",n-hexadecane: 17.59,,,n-hexadecane,0.1759,"2,2,4,4,6,8,8-heptamethylnonane",0.8241,,,,,,,,,,,,,,,,,,,30,30.56952289,,,,CCCCCCCCCCCCCCCC,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,,,,,,,,,
"5.86%n-hexadecane-94.14%2,2,4,4,6,8,8-heptamethylnonane",n-hexadecane: 5.86,,,n-hexadecane,0.0586,"2,2,4,4,6,8,8-heptamethylnonane",0.9414,,,,,,,,,,,,,,,,,,,20,19.78717121,,,,CCCCCCCCCCCCCCCC,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,,,,,,,,,
25%n-dodecane-75%iso-butylbenzene,"n-dodecane: 25, iso-butylbenzene: 75",,,n-dodecane,0.25,iso-butylbenzene,0.75,,,,,,,,,,,,,,,,,,,,,216.592,214.7716341,,CCCCCCCCCCCC,CC(C)CC1=CC=CC=C1,,,,,,,,,
50%n-dodecane-50%iso-butylbenzene,"n-dodecane: 50, iso-butylbenzene: 50",,,n-dodecane,0.5,iso-butylbenzene,0.5,,,,,,,,,,,,,,,,,,,,,166.816,164.1036445,,CCCCCCCCCCCC,CC(C)CC1=CC=CC=C1,,,,,,,,,
75%n-dodecane-25%iso-butylbenzene,"n-dodecane: 75, iso-butylbenzene: 25",,,n-dodecane,0.75,iso-butylbenzene,0.25,,,,,,,,,,,,,,,,,,,,,110.987,110.034806,,CCCCCCCCCCCC,CC(C)CC1=CC=CC=C1,,,,,,,,,
"36.24%2,2,4,4,6,8,8-heptamethylnonane-27.61%n-hexadecane-20.61%1-methylnaphthalene-15.55%cis-decalin ","n-hexadecane: 27.61, 1-methylnaphthalene: 20.61, cis-decalin: 15.55",,,n-hexadecane,0.2761,1-methylnaphthalene,0.2061,cis-decalin,0.1555,,,,,,,,,,,,,,,,,,,87.488,89.08925373,,CCCCCCCCCCCCCCCC,CC1=CC=CC2=CC=CC=C12,C1CCC2CCCCC2C1,,,,,,,,
"27.2%2,2,4,4,6,8,8-heptamethylnonane-23.46%n-octadecane-21.17%1,2,3,4-tetrahydronaphthalene (Tetralin)-15.75%1-methylnaphthalene-12.42%1,2,4-trimethylbenzene","n-octadecane: 23.46, 1-methylnaphthalene: 15.75",,,n-octadecane,0.2346,1-methylnaphthalene,0.1575,,,,,,,,,,,,,,,,,,,,,107.84,108.5068284,,CCCCCCCCCCCCCCCCCC,CC1=CC=CC2=CC=CC=C12,,,,,,,,,
"28.97%2,2,4,4,6,8,8-heptamethylnonane-19.89%n-octadecane-15.6%1,2,3,4-tetrahydronaphthalene (Tetralin)-14.5%1-methylnaphthalene-7.8%1,2,4-trimethylbenzene-5.42%cis-decalin-5.35%n-butylcyclohexane-2.48%n-hexadecane","n-octadecane: 19.89, 1-methylnaphthalene: 14.5, cis-decalin: 5.42, n-butylcyclohexane: 5.35, n-hexadecane: 2.48",,,n-octadecane,0.1989,1-methylnaphthalene,0.145,cis-decalin,0.0542,n-butylcyclohexane,0.0535,n-hexadecane,0.0248,,,,,,,,,,,,,,,96.192,96.28860659,,CCCCCCCCCCCCCCCCCC,CC1=CC=CC2=CC=CC=C12,C1CCC2CCCCC2C1,CCCCC1CCCCC1,CCCCCCCCCCCCCCCC,,,,,,
"15.04%1,3,5-triisopropylbenzene-10.66%n-octadecane-19.34%n-butylcyclohexane-11.17%1,3,5-triisopropylcyclohexane-16.41%1,2,3,4-tetrahydronaphthalene (Tetralin)-13.99%1-methylnaphthalene-7.11%2-methylheptadecane-5.64%perhydrophenanthrene-0.64%n-eicosane","n-octadecane: 10.66, n-butylcyclohexane: 19.34, 1-methylnaphthalene: 13.99, 2-methylheptadecane: 7.11, perhydrophenanthrene: 5.64, n-eicosane: 0.64",,,n-octadecane,0.1066,n-butylcyclohexane,0.1934,1-methylnaphthalene,0.1399,2-methylheptadecane,0.0711,perhydrophenanthrene,0.0564,n-eicosane,0.0064,,,,,,,,,,,,,118.144,122.8969302,,CCCCCCCCCCCCCCCCCC,CCCCC1CCCCC1,CC1=CC=CC2=CC=CC=C12,CCCCCCCCCCCCCCCC(C)C,C1CCC2C(C1)CCC3C2CCCC3,CCCCCCCCCCCCCCCCCCCC,,,,,
"71.44%n-dodecane-28.56%1,3,5-trimethylbenzene",n-dodecane: 71.44,,,n-dodecane,0.7144,"1,3,5-trimethylbenzene",0.2856,,,,,,,,,,,,,,,,,,,,,67.52,68.49418732,,CCCCCCCCCCCC,CC1=CC(=CC(=C1)C)C,,,,,,,,,
"17.74%n-dodecane-28.28%1,3,5-trimethylbenzene-53.99%2,2,4-trimethylpentane",n-dodecane: 17.74,,,n-dodecane,0.1774,"1,3,5-trimethylbenzene",0.2828,"2,2,4-trimethylpentane",0.5399,,,,,,,,,,,,,,,,,,,79.808,79.23708712,,CCCCCCCCCCCC,CC1=CC(=CC(=C1)C)C,,,,,,,,,
"40.77%n-dodecane-6.93%1,3,5-trimethylbenzene-29.18%2,2,4-trimethylpentane-23.11%n-propylbenzene","n-dodecane: 40.77, n-propylbenzene: 23.11",,,n-dodecane,0.4077,n-propylbenzene,0.2311,,,,,,,,,,,,,,,,,,,,,67.072,66.7496659,,CCCCCCCCCCCC,CCCC1=CC=CC=C1,,,,,,,,,
"22.51%n-dodecane-24.69%2,2,4,4,6,8,8-heptamethylnonane-24.72%1-methylnaphthalene-21.15%methylcyclohexane-6.93%cis-decalin ","n-dodecane: 22.51, 1-methylnaphthalene: 24.72, methylcyclohexane: 21.15, cis-decalin: 6.93",,,n-dodecane,0.2251,1-methylnaphthalene,0.2472,methylcyclohexane,0.2115,cis-decalin,0.0693,,,,,,,,,,,,,,,,,112.384,116.8491921,,CCCCCCCCCCCC,CC1=CC=CC2=CC=CC=C12,CC1CCCCC1,C1CCC2CCCCC2C1,,,,,,,
"29.65%n-dodecane-20.36%n-tetradecane-20.57%methylcyclohexane-14.95%1,3-dimethylbenzene (m-Xylene)-10.10%2,2,4-trimethylpentane-4.37%1,2,3,4-tetrahydronaphthalene (Tetralin)","n-dodecane: 29.65, n-tetradecane: 20.36, methylcyclohexane: 20.57",,,n-dodecane,0.2965,n-tetradecane,0.2036,methylcyclohexane,0.2057,,,,,,,,,,,,,,,,,,,56.512,61.49224473,,CCCCCCCCCCCC,CCCCCCCCCCCCCC,CC1CCCCC1,,,,,,,,
