Name,mixture_components,fuel_type,ignition_delay_CAD,fuel_1,fraction_fuel_1,fuel_2,fraction_fuel_2,fuel_3,fraction_fuel_3,fuel_4,fraction_fuel_4,fuel_5,fraction_fuel_5,fuel_6,fraction_fuel_6,fuel_7,fraction_fuel_7,fuel_8,fraction_fuel_8,fuel_9,fraction_fuel_9,fuel_10,fraction_fuel_10,fuel_11,fraction_fuel_11,CN_Measured,CN_Regression,YSI_Unified_Measured,YSI_Unified_Regression,fuel_type_smiles,fuel_1_smiles,fuel_2_smiles,fuel_3_smiles,fuel_4_smiles,fuel_5_smiles,fuel_6_smiles,fuel_7_smiles,fuel_8_smiles,fuel_9_smiles,fuel_10_smiles,fuel_11_smiles
60.0% geranial + RFD,"geranial:60, RFD:40",Other (Biogenic Hydrocarbon blends),10.1,geranial,0.6,toluene,0.12,n-heptane,0.28,,,,,,,,,,,,,,,,,,,,,,CC(=CCCC(=CC=O)C)C,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
5.0% toluene + 95.0% n-heptane,"toluene:5, n-heptane:95",Other (Aromatic + Paraffinic),7.3,toluene,0.05,n-heptane,0.95,,,,,,,,,,,,,,,,,,,,,,,,CC1=CC=CC=C1,CCCCCCC,,,,,,,,,
10.1% toluene + 89.9% n-heptane,"toluene: 10.1, n-heptane:89.9",Other (Aromatic + Paraffinic),7.5,toluene,0.101,n-heptane,0.899,,,,,,,,,,,,,,,,,,,,,,,,CC1=CC=CC=C1,CCCCCCC,,,,,,,,,
25.0% toluene + 75.0% n-heptane,"toluene:25, n-heptane:75",Other (Aromatic + Paraffinic),8.1,toluene,0.25,n-heptane,0.75,,,,,,,,,,,,,,,,,,,,,,,,CC1=CC=CC=C1,CCCCCCC,,,,,,,,,
35.0% toluene + 65.0% n-heptane,"toluene:35, n-heptane:65",Other (Aromatic + Paraffinic),8.7,toluene,0.35,n-heptane,0.65,,,,,,,,,,,,,,,,,,,,,,,,CC1=CC=CC=C1,CCCCCCC,,,,,,,,,
35.1% toluene + 64.9% n-heptane,"toluene:35.1, n-heptane:64.9",Other (Aromatic + Paraffinic),8.9,toluene,0.351,n-heptane,0.649,,,,,,,,,,,,,,,,,,,,,,,,CC1=CC=CC=C1,CCCCCCC,,,,,,,,,
40.0% toluene + 60.0% n-heptane,"toluene:40, n-heptane:60",Other (Aromatic + Paraffinic),9.3,toluene,0.4,n-heptane,0.6,,,,,,,,,,,,,,,,,,,,,,,,CC1=CC=CC=C1,CCCCCCC,,,,,,,,,
46.3% toluene + 53.7% n-heptane,"toluene:46.3, n-heptane:53.7",Other (Aromatic + Paraffinic),9.9,toluene,0.463,n-heptane,0.537,,,,,,,,,,,,,,,,,,,,,,,,CC1=CC=CC=C1,CCCCCCC,,,,,,,,,
50.0% toluene + 50.0% n-heptane,"toluene:50, n-heptane:50",Other (Aromatic + Paraffinic),10.7,toluene,0.5,n-heptane,0.5,,,,,,,,,,,,,,,,,,,,,,,,CC1=CC=CC=C1,CCCCCCC,,,,,,,,,
52.2% toluene + 47.8% n-heptane,"toluene:52.2, n-heptane:47.8",Other (Aromatic + Paraffinic),DNC,toluene,0.522,n-heptane,0.478,,,,,,,,,,,,,,,,,,,,,,,,CC1=CC=CC=C1,CCCCCCC,,,,,,,,,
