Source,Biodiesel,C8:0,C10:0,C12:0,C14:0,C16:0,C16:1,C17:0,C18:0,C18:1,C18:2,C18:3,C20:0,C20:1,C22:0,C22:1,C24:0,C24:1,CN,Total %
Mishra (2016),cottonseed,0,0,0,0.717060054,25.8241211,0.358530027,0,1.73289513,15.91474953,54.89493078,0.159346679,0.219101683,0.069714172,0.109550842,0,0,0,53.3,100
Mishra (2016),cottonseed,0,0,0.020663292,0.330612667,22.78127906,0.134311396,0,2.241967145,16.66494473,57.56793057,0.258291146,0,0,0,0,0,0,51.9,100
Mishra (2016),cottonseed,0,0,0,0.8,22.9,0,0,3.1,18.5,54.2,0.5,0,0,0,0,0,0,52.1,100
Mishra (2016),croton,0,0,0,0.095666316,6.935807902,0.095666316,0.095666316,3.281354635,10.33196212,73.90222903,5.165981058,0,0.095666316,0,0,0,0,50.6,100
Mishra (2016),high oleic sunflower,0,0,0,0,4.609218437,0.100200401,0,3.406813627,62.9258517,27.55511022,0.100200401,0.300601202,0,0.701402806,0,0.300601202,0,53,100
Mishra (2016),Jatropha,0,0,0,0.147958177,14.22371276,0.680607615,0.078911028,5.740777274,42.22726376,34.89840205,0.226869205,0.088774906,0.098638785,0.138094299,0,1.449990136,0,55.7,100
Mishra (2016),Jatropha,0,0,0.097370983,0.29211295,14.50827653,0.973709834,0.097370983,5.93962999,39.33787731,35.24829601,0.29211295,0.194741967,0.097370983,0.194741967,0.097370983,2.53164557,0.097370983,55.7,100
Mishra (2016),Jatropha,0,0,0,0.1,14.9,0,0,9.5,40.5,34.7,0.3,0,0,0,0,0,0,54,100
Mishra (2016),JP 50:50a,0,0,0.13,0.48,28.06,0,0,7.7,42.66,20.06,0.17,0,0,0.74,0,0,0,59,100
Mishra (2016),JT 80:20b,0,0,0.12,0.64,16.58,0,0,11.48,40.88,28.34,0.42,0,0,1.54,0,0,0,59.2,100
Mishra (2016),karanja,0,0,0,0,10.45306201,0,0,7.573430601,51.41101939,20.48377808,2.006143214,1.746976387,1.103858706,3.945095028,0,1.276636591,0,55.4,100
Mishra (2016),mahua,0,0,0,0,24.2,0,0,25.8,37.2,12.8,0,0,0,0,0,0,0,61.4,100
Mishra (2016),neem,0,0,0.83,0.47,18.2,0,0,20.1,43.7,16.4,0.3,0,0,0,0,0,0,58.7,100
Mishra (2016),olive,0,0,0,0.04950495,11.35643564,0.891089109,0.069306931,2.801980198,73.78217822,9.445544554,0.504950495,0.485148515,0.287128713,0.158415842,0,0.168316832,0,58.9,100
Mishra (2016),olive,0,0,0,0,11.6,1,0,3.1,75,7.8,0.6,0.3,0,0.1,0,0.5,0,57,100
Mishra (2016),palm,0.079896135,0.059922101,0.369519624,1.128532907,42.33496455,0.169779287,0.059922101,4.194547089,40.85688605,9.957055827,0.289623489,0.289623489,0.15979227,0,0,0.049935084,0,61.2,100
Mishra (2016),palm,0.788954635,0.493096647,0.295857988,1.084812623,41.91321499,0.197238659,0.098619329,4.142011834,40.72978304,9.368836292,0.295857988,0.295857988,0.098619329,0.098619329,0,0.098619329,0,60.4,100
Mishra (2016),palm,0,0,0.1,0.7,36.7,0.1,0,6.6,46.1,8.6,0.3,0.4,0.2,0.1,0,0.1,0,61,100
Mishra (2016),palm,0,0,0.292397661,0.877192982,43.43617665,0.120992136,0,4.3456342,40.88525912,9.719701553,0.322645695,0,0,0,0,0,0,62.76,100
Mishra (2016),peanut,0,0,0,0,11.63888015,0,0,4.424871553,49.52291077,33.70032505,0.713012478,0,0,0,0,0,0,54.31,100
Mishra (2016),peanut,0,0,0,0,10.35900521,0,0,2.797833935,47.76373847,31.60850381,0.641797032,1.073004412,1.484155636,2.868030485,0.100280786,1.303650221,0,54.9,100
Mishra (2016),peanut,0,0,0,0.1,8,0,0,1.8,53.3,28.4,0.3,0.9,2.4,3,0,1.8,0,53,100
Mishra (2016),rapeseed,0,0,0,0.039812879,4.050960486,0.228924057,0.069672539,1.542749079,61.94884045,20.51358615,8.679207724,0.865930128,1.084900965,0.268736936,0.706678611,0,0,54.1,100
Mishra (2016),rapeseed,0,0.60362173,0.100603622,0,4.225352113,0.100603622,0.100603622,1.609657948,59.85915493,21.62977867,8.450704225,0.402414487,2.112676056,0.301810865,0.503018109,0,0,53.7,100
Mishra (2016),rapeseed,0,0,0,0.020335536,4.128113879,0.040671073,0,1.220132181,64.17895272,21.63701068,8.774783935,0,0,0,0,0,0,52.86,100
Mishra (2016),rapeseed,0,0,0,0,4.895104895,0,0,1.598401598,32.96703297,20.37962038,7.892107892,0,9.290709291,0,22.97702298,0,0,55,100
Mishra (2016),rice bran,0,0,0.079856259,0.449191455,18.0874426,0.199640647,0,2.166101018,42.27390697,34.77740068,0.928329008,0.449191455,0.219604712,0.209622679,0,0.159712517,0,56.3,100
Mishra (2016),rubberseed,0,0,0,0.511022044,9.408817635,0.130260521,0,9.428857715,24.26853707,38.19639279,17.5751503,0.280561122,0.120240481,0.080160321,0,0,0,50.4,100
Mishra (2016),rubberseed,0,0,0,0.24,12.46,0,0,8.32,27.78,37.65,13.44,0,0,0.11,0,0,0,51,100
Mishra (2016),safflower,0,0,0,0.080208542,7.43934229,0.050130339,0,2.386204131,14.44756367,75.50631642,0.09023461,0,0,0,0,0,0,51.8,100
Mishra (2016),safflower,0,0,0,0.100401606,8.232931727,0.100401606,0,2.510040161,14.25702811,74.59839357,0.100401606,0.100401606,0,0,0,0,0,51.1,100
Mishra (2016),soybean,0,0,0.790123457,0.118518519,11.29876543,0.158024691,0,4.088888889,23.18024691,52.8,6.558024691,0.325925926,0.217283951,0.266666667,0.069135802,0.128395062,0,51.8,100
Mishra (2016),soybean,0,0,0.099403579,0.099403579,11.53081511,0.198807157,0.099403579,3.876739563,23.55864811,53.28031809,5.864811133,0.298210736,0.298210736,0.298210736,0.099403579,0.099403579,0.298210736,51.3,100
Mishra (2016),soybean,0,0,0,0.060612183,10.74856046,0.141428427,0,3.919587837,32.71037479,46.83301344,5.586422871,0,0,0,0,0,0,50.7,100
Mishra (2016),soybean,0,0,0,0,10.23993575,0,0,4.216444132,21.78496135,53.30790081,7.027406887,0,0,3.423351069,0,0,0,51.8,100
Mishra (2016),soybean,0,0,0,0,11.3,0.1,0,3.6,24.9,53,6.1,0.3,0.3,0,0.3,0.1,0,49,100
Mishra (2016),sunflower,0,0,0,0.039888313,6.242520941,0.059832469,0,3.919026725,20.71200638,67.56082968,0.149581173,0.229357798,0.129637016,0.698045473,0,0.259274033,0,51.9,100
